regime,seed,config,beta,ll
s0_none,28,fixed_beta_0.00,0.0,0.33130126077205807
s0_none,28,fixed_beta_0.05,0.05,0.33137747176359655
s0_none,28,fixed_beta_0.10,0.1,0.3314606931128017
s0_none,28,fixed_beta_0.15,0.15,0.3315520364314737
s0_none,28,fixed_beta_0.20,0.2,0.3316529003183231
s0_none,28,fixed_beta_0.25,0.25,0.33176502187561635
s0_none,28,fixed_beta_0.30,0.3,0.33189062613954406
s0_none,28,fixed_beta_0.35,0.35,0.33203261689876573
s0_none,28,fixed_beta_0.40,0.4,0.33219478888922804
s0_none,28,fixed_beta_0.45,0.45,0.33238228817805465
s0_none,28,fixed_beta_0.50,0.5,0.33260211634600767
s0_none,28,fixed_beta_0.55,0.55,0.33286421849027986
s0_none,28,fixed_beta_0.60,0.6,0.3331831089956488
s0_none,28,fixed_beta_0.65,0.65,0.3335806001408716
s0_none,28,fixed_beta_0.70,0.7,0.3340912490480724
s0_none,28,fixed_beta_0.75,0.75,0.3347736774119622
s0_none,28,fixed_beta_0.80,0.8,0.33574325928766907
s0_none,28,fixed_beta_0.85,0.85,0.33725646682961175
s0_none,28,fixed_beta_0.90,0.9,0.34001296841465434
s0_none,28,fixed_beta_0.95,0.95,0.34653384482995386
s0_none,28,fixed_beta_1.00,1.0,0.35952341760267764
s0_none,28,amgtp_adaptive,,0.3323952558980976
s0_none,28,m5b_smooth0.001,,0.331291177994971
s0_none,28,m5b_smooth0.1,,0.3313194548207114
s0_none,28,ensemble3,,0.3312088224442316
