regime,seed,config,beta,ll
s3c_recurring_p11,21,fixed_beta_0.00,0.0,0.4443023753118693
s3c_recurring_p11,21,fixed_beta_0.05,0.05,0.44397483697894846
s3c_recurring_p11,21,fixed_beta_0.10,0.1,0.4427548497235028
s3c_recurring_p11,21,fixed_beta_0.15,0.15,0.442127358214865
s3c_recurring_p11,21,fixed_beta_0.20,0.2,0.44484884239827494
s3c_recurring_p11,21,fixed_beta_0.25,0.25,0.4431368667816295
s3c_recurring_p11,21,fixed_beta_0.30,0.3,0.4423738387316437
s3c_recurring_p11,21,fixed_beta_0.35,0.35,0.4421763928841424
s3c_recurring_p11,21,fixed_beta_0.40,0.4,0.44302534337165095
s3c_recurring_p11,21,fixed_beta_0.45,0.45,0.44106138657303556
s3c_recurring_p11,21,fixed_beta_0.50,0.5,0.4416386922966821
s3c_recurring_p11,21,fixed_beta_0.55,0.55,0.44243170317616765
s3c_recurring_p11,21,fixed_beta_0.60,0.6,0.44191346214013894
s3c_recurring_p11,21,fixed_beta_0.65,0.65,0.4415952074355228
s3c_recurring_p11,21,fixed_beta_0.70,0.7,0.43993194621844917
s3c_recurring_p11,21,fixed_beta_0.75,0.75,0.43997084435477346
s3c_recurring_p11,21,fixed_beta_0.80,0.8,0.4392974330522166
s3c_recurring_p11,21,fixed_beta_0.85,0.85,0.43993275398240933
s3c_recurring_p11,21,fixed_beta_0.90,0.9,0.4411332099803976
s3c_recurring_p11,21,fixed_beta_0.95,0.95,0.4447998584375774
s3c_recurring_p11,21,fixed_beta_1.00,1.0,0.4534473215081273
s3c_recurring_p11,21,amgtp_adaptive,,0.43917393005001115
s3c_recurring_p11,21,m5b_smooth0.001,,0.4429063191838304
s3c_recurring_p11,21,m5b_smooth0.1,,0.4365707732073819
s3c_recurring_p11,21,ensemble3,,0.43825293938415005
