method,day,b_end,a_end
short_only,5,-0.008624564087709462,1.0
short_only,6,-0.04494144739714334,1.0
short_only,7,-0.07000985162436248,1.0
short_only,8,-0.01809741635586191,1.0
short_only,9,-0.054932713112334566,1.0
combined,5,0.0013967186283288988,1.0
combined,6,-0.048884016293976734,1.0
combined,7,-0.10198462686311713,1.0
combined,8,-0.025535055713021847,1.0
combined,9,-0.054883153490867594,1.0
online_platt,5,0.0033348734210908973,1.0175034337847062
online_platt,6,-0.026114809650356903,1.068494075342335
online_platt,7,-0.04512223994221215,1.1017196399580955
online_platt,8,-0.0014408664115669859,1.0429788538782208
online_platt,9,-0.026790446724067586,1.054591825032586
