day,block,n,mean_residual
5,0,14538,-0.016466443255190057
5,1,16242,0.00030588824020950814
5,2,20270,0.0014030793743190256
5,3,22254,0.009105148545860121
5,4,30173,0.016161607010701635
5,5,34361,0.007103743545173946
5,6,35672,0.0006515461009184919
5,7,40174,0.0027170678393308957
5,8,37860,0.00718055777920714
5,9,40210,0.006671991342154835
5,10,43792,0.000881455074807891
5,11,47794,0.006803929832375065
5,12,47381,0.009962106734788263
5,13,47522,0.011782951881609894
5,14,46772,0.006406013230238141
5,15,41311,0.00484979444238059
5,16,40295,0.001783352792758701
5,17,36738,-0.007474430607013306
5,18,30798,-0.009843254061548143
5,19,23268,-0.00710473189547441
5,20,20509,-0.010437676322178758
5,21,16668,-0.008268449851881658
5,22,17856,-0.009188601979361723
5,23,15367,0.003681411618097638
6,0,12518,-0.008629590200338717
6,1,15005,0.0060775871587521926
6,2,17067,-0.008296306756602817
6,3,24315,-0.013034487085486027
6,4,27393,-0.004968624054544636
6,5,33642,-0.0008441067744241506
6,6,34175,-0.0015549206861466183
6,7,32601,0.004263172294141555
6,8,32736,0.0032536171944035227
6,9,30334,0.000476440969937626
6,10,20167,-0.006150609302059739
6,11,23677,0.002223533923697917
6,12,33263,0.0014356557002346958
6,13,34409,0.006979081616768985
6,14,20883,0.006462748745535183
6,15,20792,0.0012850789404777595
6,16,36118,-0.006976517200608268
6,17,46844,-0.019286513150671102
6,18,40825,-0.028775398972852653
6,19,31722,-0.03157332497395555
6,20,21460,-0.027859039438882197
6,21,18463,-0.02479980303309807
6,22,19294,-0.028038203144076766
6,23,17503,-0.017714165679299666
