ablation,setting,imp_wt_ll
carryover_rho,0.0,0.3878114665957508
carryover_rho,0.5,0.38768042274716397
carryover_rho,1.0,0.38762944007556593
delay_sec,0,0.3877748030945672
delay_sec,900,0.3878114665957508
delay_sec,1800,0.3878114665957508
delay_sec,3600,0.3878114665957508
update_granularity,impression,0.3874126302727147
update_granularity,block_900,0.3878482295609747
update_granularity,block_1800,0.3878114665957508
update_granularity,block_3600,0.3878114665957508
chronology,real,0.3878114665957508
chronology,shuffled,0.3877800770920622
long_term_backbone,expanding,0.38710061141024954
long_term_backbone,equal,0.38687338778883346
long_term_backbone,adaptive,0.3878114665957508
calib_complexity,intercept,0.3878114665957508
calib_complexity,platt,0.387189854652328
