day,selected_window
7,expanding
8,expanding
9,expanding
10,expanding
11,expanding
12,expanding
13,expanding
14,expanding
15,expanding
16,rolling_14
17,rolling_3
18,rolling_3
19,rolling_3
20,rolling_3
21,rolling_3
22,rolling_3
23,rolling_14
24,expanding
25,expanding
26,expanding
27,expanding
28,expanding
29,expanding
30,expanding
31,rolling_7
32,rolling_7
33,rolling_7
34,rolling_7
35,rolling_7
36,expanding
37,expanding
38,rolling_3
39,rolling_3
40,rolling_3
41,rolling_3
42,rolling_3
43,rolling_3
44,rolling_3
45,expanding
46,expanding
47,expanding
48,expanding
49,expanding
50,expanding
51,expanding
52,rolling_7
53,rolling_7
54,rolling_7
55,rolling_7
56,expanding
57,expanding
58,expanding
59,rolling_3
60,rolling_3
61,rolling_3
62,rolling_3
63,rolling_3
64,rolling_3
65,rolling_7
66,rolling_7
67,rolling_7
68,rolling_7
69,rolling_7
70,expanding
71,expanding
72,expanding
73,rolling_3
74,rolling_3
75,rolling_3
76,rolling_3
77,expanding
78,expanding
79,expanding
80,rolling_3
81,rolling_3
82,rolling_3
83,rolling_3
84,rolling_3
85,rolling_3
86,rolling_7
87,rolling_7
88,rolling_7
89,rolling_7
90,rolling_7
91,rolling_7
92,expanding
93,expanding
94,expanding
95,rolling_3
96,rolling_3
97,rolling_3
98,rolling_3
99,rolling_3
100,expanding
101,expanding
102,expanding
103,rolling_3
104,rolling_3
105,rolling_3
106,rolling_3
107,rolling_3
108,rolling_3
109,rolling_3
110,rolling_7
111,rolling_7
112,rolling_7
113,rolling_7
114,rolling_7
115,expanding
116,expanding
117,expanding
118,rolling_3
119,rolling_3
