reference,regime,amgtp_minus_ref,wilcoxon_p,holm_p
global_fixed_beta,s0_none,-0.003517089712573111,1.52587890625e-05,0.000213623046875
global_fixed_beta,s1_abrupt,-0.009782462790353278,1.52587890625e-05,0.000213623046875
global_fixed_beta,s2_gradual,-0.00437445547658193,1.52587890625e-05,0.000213623046875
global_fixed_beta,s3_recurring,-0.001522194205107486,7.62939453125e-05,0.0005340576171875
global_fixed_beta,s4_local,-0.02312883665841289,1.52587890625e-05,0.000213623046875
global_fixed_beta,s5_opposing_local,-0.005203118318945083,1.52587890625e-05,0.000213623046875
global_fixed_beta,s6_mixed,-0.0018102115251201496,0.2841644287109375,0.8524932861328125
global_fixed_beta,s7_opposing_recurring,-0.0028056450865944966,1.52587890625e-05,0.000213623046875
global_fixed_beta,s3b_recurring_p9,-0.0010945591118304483,1.52587890625e-05,0.000213623046875
global_fixed_beta,s3c_recurring_p11,8.798514285582478e-05,0.54766845703125,0.8524932861328125
global_fixed_beta,s3d_recurring_p17,0.00044057369402247966,0.328948974609375,0.8524932861328125
global_fixed_beta,s3e_recurring_p21,0.0010050529594543,0.17425537109375,0.697021484375
global_fixed_beta,s8_irregular_recurring,0.007229196753274649,0.0347900390625,0.1739501953125
global_fixed_beta,s9_heterogeneous,0.005211801796429804,0.0020904541015625,0.012542724609375
ensemble3,s0_none,0.001194396498548692,1.52587890625e-05,0.000213623046875
ensemble3,s1_abrupt,-0.0002589058161835313,1.52587890625e-05,0.000213623046875
ensemble3,s2_gradual,3.683166379768862e-05,0.02667236328125,0.21337890625
ensemble3,s3_recurring,-5.4162746011835396e-05,0.8536376953125,1.0
ensemble3,s4_local,0.00123655153797269,1.52587890625e-05,0.000213623046875
ensemble3,s5_opposing_local,0.0004712297138527362,0.4037628173828125,1.0
ensemble3,s6_mixed,-0.0007995191578880296,0.963226318359375,1.0
ensemble3,s7_opposing_recurring,0.002862449137559639,1.52587890625e-05,0.000213623046875
ensemble3,s3b_recurring_p9,0.0018784453906558539,1.52587890625e-05,0.000213623046875
ensemble3,s3c_recurring_p11,0.0007052975592528631,0.120208740234375,0.72125244140625
ensemble3,s3d_recurring_p17,0.0008863755721881903,0.2841644287109375,1.0
ensemble3,s3e_recurring_p21,0.002468859859797266,0.044769287109375,0.313385009765625
ensemble3,s8_irregular_recurring,-0.012183553532813947,0.007904052734375,0.071136474609375
ensemble3,s9_heterogeneous,-0.0030838652161725598,0.243499755859375,1.0
learn_alpha,s0_none,8.033864108940058e-05,0.004638671875,0.023193359375
learn_alpha,s1_abrupt,-0.007468858054616338,1.52587890625e-05,0.000213623046875
