method,mean_excess,mean_ci_lo,mean_ci_hi,worst_excess,worst_ci_lo,worst_ci_hi,n_seeds
amgtp,0.0018594802453708596,0.001422132456393398,0.002290990776301803,0.016617373574407752,0.01277569337405831,0.020819874587284938,17
m5b_smooth0.1,0.002195341700325681,0.001828752825756535,0.0025463162152327187,0.01945313904460862,0.01671435874260174,0.022481090234280264,17
ensemble3,0.0021908780693311656,0.0015527777163078817,0.002876118401117341,0.02462995853720626,0.02034326482084767,0.028999887578529494,17
global_fixed_beta,0.0046640489981909896,0.004382953533107842,0.004929079530030392,0.025350466610119773,0.024799846781486844,0.025982856695507223,17
learn_alpha,0.002851124068378171,0.0024394255617196997,0.0032295163643945458,0.02731746242700836,0.02664677567579462,0.02807594694224,17
fixed_share,0.004006097977614793,0.0035979445339165525,0.004388439467906037,0.027499314394780667,0.02683299931800846,0.028254805534238415,17
han_arw,0.005893862988807247,0.005296456853155704,0.006592133415692323,0.03047673691531388,0.02910158496643458,0.03243939125596025,17
adamoe,0.017480650880912482,0.016865524420119595,0.01805269248185471,0.04277685639075215,0.04204647352556441,0.043554473431370797,17
m5b_smooth0.001,0.008046840878297002,0.007006725024837237,0.008998235394974555,0.04682273143196312,0.03877369737127333,0.05528755212548819,17
m2_context_gate,0.019097165603884886,0.01831555721439018,0.019852487060768458,0.06081644341704381,0.05967915404968605,0.06240357625831266,17
expanding,0.05194110482604863,0.04986838945354156,0.054134723683757234,0.2037455563255106,0.1974440171957403,0.21163637753978132,17
