B,eta0,eta_schedule,update,block_sec,delay_sec,eps,dev_imp_wt_ll,dev_worst_day_ll
0.25,0.3,const,block,3600,1800,1e-05,0.4221984923582681,0.42579041989755223
0.25,0.3,const,block,1800,1800,1e-05,0.4221984923582681,0.42579041989755223
0.5,0.3,const,block,1800,1800,1e-05,0.4221984923582681,0.42579041989755223
0.5,0.3,const,block,3600,1800,1e-05,0.4221984923582681,0.42579041989755223
2.0,0.3,const,block,3600,1800,1e-05,0.4221984923582681,0.42579041989755223
2.0,0.3,const,block,1800,1800,1e-05,0.4221984923582681,0.42579041989755223
1.0,0.3,const,block,3600,1800,1e-05,0.4221984923582681,0.42579041989755223
1.0,0.3,const,block,1800,1800,1e-05,0.4221984923582681,0.42579041989755223
1.0,0.3,inv_sqrt,block,3600,1800,1e-05,0.422204970681449,0.42581527288064713
1.0,0.3,inv_sqrt,block,1800,1800,1e-05,0.422204970681449,0.42581527288064713
2.0,0.3,inv_sqrt,block,3600,1800,1e-05,0.422204970681449,0.42581527288064713
2.0,0.3,inv_sqrt,block,1800,1800,1e-05,0.422204970681449,0.42581527288064713
0.5,0.3,inv_sqrt,block,1800,1800,1e-05,0.422204970681449,0.42581527288064713
0.5,0.3,inv_sqrt,block,3600,1800,1e-05,0.422204970681449,0.42581527288064713
0.25,0.3,inv_sqrt,block,3600,1800,1e-05,0.422204970681449,0.42581527288064713
0.25,0.3,inv_sqrt,block,1800,1800,1e-05,0.422204970681449,0.42581527288064713
0.25,0.3,inv_sqrt,block,900,1800,1e-05,0.42221315322215297,0.4258212994827852
0.5,0.3,inv_sqrt,block,900,1800,1e-05,0.42221315322215297,0.4258212994827852
2.0,0.3,inv_sqrt,block,900,1800,1e-05,0.42221315322215297,0.4258212994827852
1.0,0.3,inv_sqrt,block,900,1800,1e-05,0.42221315322215297,0.4258212994827852
2.0,0.1,const,block,1800,1800,1e-05,0.42221433781590106,0.4258278809252524
2.0,0.1,const,block,3600,1800,1e-05,0.42221433781590106,0.4258278809252524
1.0,0.1,const,block,3600,1800,1e-05,0.42221433781590106,0.4258278809252524
1.0,0.1,const,block,1800,1800,1e-05,0.42221433781590106,0.4258278809252524
0.25,0.1,const,block,1800,1800,1e-05,0.42221433781590106,0.4258278809252524
0.25,0.1,const,block,3600,1800,1e-05,0.42221433781590106,0.4258278809252524
