method,mean_imp_wt_ll,std_across_seeds
frozen_v5,0.3874056907529819,0.00017794372028947218
ops,0.3874432394592488,5.824582096290715e-05
dualtime,0.3876097866435649,7.748432179267762e-05
long_only,0.388153894727799,0.00020310785542861266
