baseline,method,n_days,mean_delta,median_delta,ci95_lo,ci95_hi,ci_excludes_0,n_days_won,sign_test_p
long_only,ops,3,-0.000654084765982172,-0.000461185917250954,-0.001224066507962196,-0.000277001872733366,True,3,0.25
long_only,dualtime,3,-0.0004939830948250802,-0.0003339841610861353,-0.0009961218015889783,-0.00015184332180012694,True,3,0.25
long_only,frozen_v5,3,-0.0006839002346466998,-0.0005028270920155268,-0.0013216547584291767,-0.00022721885349539597,True,3,0.25
ops,long_only,3,0.000654084765982172,0.000461185917250954,0.000277001872733366,0.001224066507962196,True,0,0.25
ops,dualtime,3,0.00016010167115709177,0.00012720175616481866,0.00012515855093323905,0.00022794470637321762,True,0,0.25
ops,frozen_v5,3,-2.9815468664527876e-05,-4.164117476457285e-05,-9.758825046698079e-05,4.9783019237970016e-05,False,2,1.0
