dataset,outer_test_day,train_day_range,n_train_days,inner_validation_days,chosen_cross_dim,chosen_lr,chosen_weight_decay,code_commit,data_sampling_seed,model_seed
criteo,16,1-15,15,13;14;15,16,0.0003,1e-05,958c8404bb8a39c81c8844955d10b761a545c4db,0,0
criteo,17,1-16,16,14;15;16,16,0.0003,1e-05,958c8404bb8a39c81c8844955d10b761a545c4db,0,0
criteo,18,1-17,17,15;16;17,16,0.0003,1e-05,958c8404bb8a39c81c8844955d10b761a545c4db,0,0
criteo,19,1-18,18,16;17;18,16,0.0003,1e-05,958c8404bb8a39c81c8844955d10b761a545c4db,0,0
criteo,20,1-19,19,17;18;19,16,0.0003,1e-05,958c8404bb8a39c81c8844955d10b761a545c4db,0,0
criteo,21,1-20,20,18;19;20,16,0.0003,1e-05,958c8404bb8a39c81c8844955d10b761a545c4db,0,0
