dataset,day,data_sampling_seed,model_seed,method,log_loss,brier,n_impressions,empirical_ctr,delta_vs_long_only,delta_vs_online_platt
criteo,16,0,0,long_only,0.6098879907485042,0.21086117078140101,477680,0.3740663205493217,0.0,-0.00018626376441521764
criteo,16,0,0,online_platt,0.6100742545129194,0.21096549253955857,477680,0.3740663205493217,0.00018626376441521764,0.0
criteo,16,0,0,v5_linear,0.609483586922405,0.2106887679538619,477680,0.3740663205493217,-0.0004044038260991867,-0.0005906675905144043
criteo,16,0,0,v5_no_history,0.609855882083619,0.21084307229081325,477680,0.3740663205493217,-3.210866488523312e-05,-0.00021837242930045075
criteo,16,0,0,v5_shuffled_history,0.609560862856387,0.21071790829403866,477680,0.3740663205493217,-0.00032712789211719606,-0.0005133916565324137
criteo,17,0,0,long_only,0.6175140630205891,0.21431030518088398,450258,0.38313367002918325,0.0,0.0005725187815541766
criteo,17,0,0,online_platt,0.6169415442390349,0.2139888561059932,450258,0.38313367002918325,-0.0005725187815541766,0.0
criteo,17,0,0,v5_linear,0.6168654086958623,0.21400728761436363,450258,0.38313367002918325,-0.0006486543247268273,-7.61355431726507e-05
criteo,17,0,0,v5_no_history,0.6174776096324421,0.21429357257417206,450258,0.38313367002918325,-3.645338814695087e-05,0.0005360653934072257
criteo,17,0,0,v5_shuffled_history,0.6168715114705089,0.21401022579556395,450258,0.38313367002918325,-0.0006425515500801948,-7.003276852601825e-05
criteo,18,0,0,long_only,0.6159501727050272,0.21358906320003837,538532,0.3789765510684602,0.0,0.00016412990352521195
criteo,18,0,0,online_platt,0.615786042801502,0.21350825697059755,538532,0.3789765510684602,-0.00016412990352521195,0.0
criteo,18,0,0,v5_linear,0.6156342997639922,0.21342826025254258,538532,0.3789765510684602,-0.000315872941034967,-0.00015174303750975504
criteo,18,0,0,v5_no_history,0.6158938204941355,0.2135631685718095,538532,0.3789765510684602,-5.6352210891619237e-05,0.00010777769263359271
criteo,18,0,0,v5_shuffled_history,0.6156372893174369,0.2134289011355252,538532,0.3789765510684602,-0.00031288338759027923,-0.00014875348406506728
criteo,19,0,0,long_only,0.6053585071168499,0.20878013280806273,582350,0.3644560831115309,0.0,0.00012824765696706208
criteo,19,0,0,online_platt,0.6052302594598828,0.20875595440511788,582350,0.3644560831115309,-0.00012824765696706208,0.0
criteo,19,0,0,v5_linear,0.6057828737152167,0.20894395826803908,582350,0.3644560831115309,0.0004243665983667544,0.0005526142553338165
criteo,19,0,0,v5_no_history,0.605371730782838,0.2087833470910951,582350,0.3644560831115309,1.322366598810465e-05,0.00014147132295516673
criteo,19,0,0,v5_shuffled_history,0.605848597132452,0.20896884380906888,582350,0.3644560831115309,0.0004900900156020738,0.0006183376725691359
criteo,20,0,0,long_only,0.6066606695356239,0.20937625552671188,552965,0.36695450887488357,0.0,7.292577510309428e-06
criteo,20,0,0,online_platt,0.6066533769581136,0.20936694032788386,552965,0.36695450887488357,-7.292577510309428e-06,0.0
criteo,20,0,0,v5_linear,0.6065157446767674,0.20932081435252306,552965,0.36695450887488357,-0.00014492485885653217,-0.00013763228134622274
criteo,20,0,0,v5_no_history,0.6066491841873377,0.20936957913662105,552965,0.36695450887488357,-1.148534828621095e-05,-4.192770775901522e-06
criteo,20,0,0,v5_shuffled_history,0.6065333344944374,0.20932712219593785,552965,0.36695450887488357,-0.00012733504118656036,-0.00012004246367625093
criteo,21,0,0,long_only,0.6060497273118056,0.2090845502089413,562085,0.3661047706307765,0.0,-0.00030467226092201205
criteo,21,0,0,online_platt,0.6063543995727276,0.2091902431207212,562085,0.3661047706307765,0.00030467226092201205,0.0
criteo,21,0,0,v5_linear,0.6057861942763944,0.20900343961081402,562085,0.3661047706307765,-0.0002635330354112675,-0.0005682052963332795
criteo,21,0,0,v5_no_history,0.6060776749913568,0.20909352037766304,562085,0.3661047706307765,2.7947679551165727e-05,-0.0002767245813708463
criteo,21,0,0,v5_shuffled_history,0.6058852047868812,0.2090413135482905,562085,0.3661047706307765,-0.00016452252492438202,-0.00046919478584639407
