day,mean_alpha
4,0.10871428571428572
5,0.10871428571428574
6,0.10850241052988395
7,0.10807921323504113
8,0.10756197972171468
9,0.10696695992445751
10,0.10621635205673272
11,0.10547122552501759
12,0.10463904104996043
13,0.10389073552997606
14,0.1032080063452203
15,0.10243945072103941
16,0.10132892849637341
17,0.10019678750460068
18,0.09934959504572279
19,0.09804062625800904
20,0.09703151196919084
21,0.09573697861430719
22,0.09466796624253647
23,0.09352849307292437
24,0.09235282965146054
25,0.09136448699770741
26,0.09054183019214083
27,0.0893066678088029
28,0.08825489872875858
29,0.08690477649976415
30,0.08574634682729182
31,0.08486254433644505
32,0.08380731161298541
33,0.08296449512824096
34,0.08176925849918669
35,0.0806615164573349
36,0.0793568545498862
37,0.0783004406602776
38,0.07715767747794293
39,0.07605881686085154
40,0.07508721142232694
41,0.0736225444417267
42,0.0725373312932219
43,0.07141823358336188
44,0.07040186065558261
45,0.06932389528912686
46,0.06828618133807897
47,0.06719175189410728
48,0.06633426162202531
49,0.06547945591587413
50,0.06417352953443592
51,0.06309119722523493
52,0.06206813332323945
53,0.06108697868911492
54,0.060084930493653765
55,0.058985877540212374
56,0.05807332074057729
57,0.05718128609356916
58,0.056384854637538055
59,0.05547022200419765
60,0.05477547805747016
61,0.05459851254115419
62,0.056641835892220216
63,0.05983310100923924
64,0.06399164254476078
65,0.06719784653677098
66,0.07011261028145828
67,0.07216259387837935
68,0.07338600442550643
69,0.0739889153155085
70,0.07421395313457531
71,0.07448839391561933
72,0.07427035541739332
73,0.0736533611839891
74,0.0731323730126368
75,0.07262129929444515
76,0.07174027489795068
77,0.07091464848091145
78,0.07024930462081184
79,0.06967129062678246
80,0.0689863665612051
81,0.06828349995478698
82,0.06775882957088993
83,0.06713338205522479
84,0.06658387407565257
85,0.06616507982776199
86,0.06573504236573217
87,0.06517091511452915
88,0.06451256082733221
89,0.06432068155052639
90,0.0639484589055298
91,0.06358316610972287
92,0.06335895445636648
93,0.06320556283577507
94,0.06266043684257698
95,0.06224477085893848
96,0.06166211082688178
97,0.06140164154996592
98,0.0611893670888975
99,0.06079004469046637
100,0.060585544422533104
101,0.06045258614103572
102,0.06028451211793766
103,0.06019327161958328
104,0.05997383519324072
105,0.05971892912833987
106,0.05946788836479906
107,0.059526039620528916
108,0.059023255723779866
109,0.05920832966116244
110,0.05925256711465775
111,0.05901671083527214
112,0.058954291814217866
113,0.059091161623911585
114,0.05865001077406551
115,0.058535330056950365
116,0.0585268265537662
117,0.05826164016680233
118,0.05819073137041309
119,0.058016443258265375
