ons_lam,ons_eta,mean_S,mean_L
0.001,0.25,0.613275129106101,0.6099252774924369
0.001,1.0,0.7319354081441092,0.6136002302811305
0.001,4.0,0.8934526497391798,0.6816841598884699
0.01,0.25,0.6109202025919921,0.6095776432067452
0.01,1.0,0.6207142268201044,0.6118011179378109
0.01,4.0,0.8433793584763304,0.6434919473061087
0.1,0.25,0.6094724625482332,0.6094759488418182
0.1,1.0,0.6119791293030672,0.6096347842114583
0.1,4.0,0.6336651272152716,0.6171367913475292
1.0,0.25,0.6095545922476436,0.6095655179299523
1.0,1.0,0.6094817750802694,0.6094854585713225
1.0,4.0,0.6095856350254499,0.6095593399498145
