day,longest_same_sign_run,n_blocks,residual_autocorr_lag1
16,30,96,0.577148576825121
17,45,96,0.3681753386342905
18,26,96,0.4619744695379394
19,37,96,0.48446762127509985
20,17,96,0.5374491415320634
21,45,96,0.6742950334030392
