method,block,n,mean_residual,log_loss
expanding,0,33668,0.012640023809925923,0.6182192909814409
expanding,1,24803,0.013334459757831634,0.6179482257579345
expanding,2,26273,0.018167194758775235,0.6143743385860977
expanding,3,39998,0.024876310233928983,0.6161947663991847
expanding,4,71492,0.022261218064567587,0.6157360778357276
expanding,5,129515,0.01922320175603545,0.6137716051596851
expanding,6,188502,0.014531059641411017,0.6113754142931772
expanding,7,229519,0.005492599117337548,0.6072813791957045
expanding,8,245943,0.0014835670601735203,0.6031261523264938
expanding,9,247125,-0.0003587607551244292,0.6013151653301403
expanding,10,248221,-0.0038567970549331426,0.6000374354129379
expanding,11,249878,-0.0041948827273937455,0.6012620535904345
expanding,12,251193,0.0015554722548040488,0.604327056004028
expanding,13,242401,-0.0014512258133248259,0.6023430146992085
expanding,14,229918,0.0027128383748801334,0.6037687800471535
expanding,15,234435,0.0042552258103331275,0.6059017319064083
expanding,16,270188,0.007148212554986664,0.6059653644935241
expanding,17,288744,0.009805007107483329,0.6087464786181178
expanding,18,306349,0.01199587846316753,0.6109105717719024
expanding,19,308996,0.012856520669572625,0.6128330755083388
expanding,20,276318,0.015080367603755635,0.6155655285728023
expanding,21,200793,0.01718317899409432,0.61761458777467
expanding,22,102921,0.015184525090881038,0.6181739483583825
expanding,23,52958,0.011226996152495873,0.6179432137389453
long_only,0,33668,0.0031809157133640673,0.6175163851515553
long_only,1,24803,0.005131753401859606,0.617216196982084
long_only,2,26273,0.010731410576642616,0.6133784119298181
long_only,3,39998,0.017726709441888124,0.6145847776214651
long_only,4,71492,0.014674485807601636,0.614114210032939
long_only,5,129515,0.010578580448055333,0.6124808592796969
long_only,6,188502,0.005105259548749112,0.6101063607425636
long_only,7,229519,-0.004306202919157267,0.6062377639258004
long_only,8,245943,-0.008229327034136836,0.6021667836827415
long_only,9,247125,-0.00994298232988148,0.6007060614251785
long_only,10,248221,-0.013126248203541318,0.5994823153124679
long_only,11,249878,-0.013296926778945128,0.6007081783711392
long_only,12,251193,-0.007636408314713175,0.6038679413279497
long_only,13,242401,-0.010718297850505848,0.6020264883770035
long_only,14,229918,-0.006622604777419466,0.6029545481768966
long_only,15,234435,-0.0051296231555672525,0.6053141904995579
long_only,16,270188,-0.0024295418990878974,0.6052361936772208
long_only,17,288744,9.682494121777762e-05,0.6081172110778629
long_only,18,306349,0.0021938709829760162,0.6100639111035755
long_only,19,308996,0.0029983657280803324,0.6118180826555877
long_only,20,276318,0.0050075106896389065,0.6145639254669176
long_only,21,200793,0.006887985735800082,0.6163428075619727
long_only,22,102921,0.00452699505134615,0.6173604310496437
long_only,23,52958,0.0008074157573577355,0.617493292289049
short_only,0,33668,0.010809271430045479,0.6188715931920112
short_only,1,24803,0.008203181989858472,0.6186808450195203
short_only,2,26273,0.011486373949531626,0.61443692202656
short_only,3,39998,0.01553716044841319,0.6156901387679614
short_only,4,71492,0.00947855621396121,0.6147298471434305
short_only,5,129515,0.0042205074099139475,0.6129592285713295
short_only,6,188502,-0.0012824678873851925,0.6108141398486194
short_only,7,229519,-0.010351837766254333,0.6072497183072454
short_only,8,245943,-0.012539179117230192,0.603279840309609
short_only,9,247125,-0.011644651314610854,0.6014827170310425
short_only,10,248221,-0.012330739866652259,0.6001903879623528
short_only,11,249878,-0.009765706489912282,0.6014108934708218
short_only,12,251193,-0.00185328696547873,0.6042854386318515
short_only,13,242401,-0.0043077611433026165,0.6023055202423512
short_only,14,229918,0.0002843782564841704,0.6036082175411044
short_only,15,234435,0.0016641799299479192,0.6056975455936537
short_only,16,270188,0.004008394767337029,0.6058533905205471
short_only,17,288744,0.005716471440724394,0.6085465945758366
short_only,18,306349,0.006669637095420778,0.6106183094620251
short_only,19,308996,0.0061273867326885135,0.6124770804258035
short_only,20,276318,0.006883710835302894,0.6151543880687582
short_only,21,200793,0.007336137794597356,0.6170442157529072
short_only,22,102921,0.003335814612347806,0.6176051660158316
short_only,23,52958,-0.001587663042645456,0.6176163065652026
combined,0,33668,0.0016849538988105183,0.6182115918917422
combined,1,24803,0.002204782115703488,0.6180796653823335
combined,2,26273,0.007566923370996326,0.6136326747683479
combined,3,39998,0.01267425845184235,0.6144926534117308
combined,4,71492,0.006735194398469646,0.6135533151799756
combined,5,129515,0.0010261598276588469,0.6121366636598136
combined,6,188502,-0.004452279601808426,0.6099632528746127
combined,7,229519,-0.013044848074018062,0.6063879890148718
combined,8,245943,-0.014464049131262056,0.6022931244467722
combined,9,247125,-0.01300152230354843,0.6007588934281616
combined,10,248221,-0.013103083863412182,0.5993822170406704
combined,11,249878,-0.010259152720515271,0.6005103773513698
combined,12,251193,-0.0023159083644611837,0.6036752303795851
combined,13,242401,-0.0047352721920265566,0.6017537539745837
combined,14,229918,-6.36857562782311e-05,0.6027275696544067
combined,15,234435,0.0014224905326996854,0.6051071961290189
combined,16,270188,0.003602075809554272,0.6052151892753203
combined,17,288744,0.005276473945928234,0.6081131314351725
combined,18,306349,0.006215154285423504,0.6100997878091013
combined,19,308996,0.005650474754733769,0.6118299894928068
combined,20,276318,0.006360945187018943,0.61457377989966
combined,21,200793,0.006852609113568749,0.6163412342499407
combined,22,102921,0.002994047964255074,0.6173058832320496
combined,23,52958,-0.0015955509759517914,0.6175402738420754
time_of_day,0,33668,-0.0022399309530838594,0.6175656629912339
time_of_day,1,24803,-0.0012124736101691823,0.6171828493388758
time_of_day,2,26273,-0.00203030334865648,0.6131696595238948
time_of_day,3,39998,-0.00017779821208189199,0.6138763045207457
time_of_day,4,71492,-0.003927926383975258,0.6137088717075199
time_of_day,5,129515,-0.003154077496890446,0.6122986537226757
time_of_day,6,188502,-0.007818117395037957,0.610211976348983
time_of_day,7,229519,-0.008132217388178034,0.6063723862505681
time_of_day,8,245943,-0.005593548465228271,0.6020991820934216
time_of_day,9,247125,-0.004043982114726741,0.6005296841701915
time_of_day,10,248221,-0.004500638951490456,0.5991442326898571
time_of_day,11,249878,-0.003923360263826076,0.600354761368702
time_of_day,12,251193,-0.002443354109675172,0.6037642384671326
time_of_day,13,242401,-0.005496498203356513,0.6018347876588052
time_of_day,14,229918,-0.0024216921579539516,0.6028881608116848
time_of_day,15,234435,-0.0021927372610578855,0.6052919039848593
time_of_day,16,270188,-0.001108983619443363,0.6052353626841309
time_of_day,17,288744,0.0007402664813688563,0.6081274700452538
time_of_day,18,306349,-0.0010749301127254624,0.6100650099583346
time_of_day,19,308996,-0.0001124258079904016,0.6118067797480605
time_of_day,20,276318,0.0010947515301654419,0.614511823631671
time_of_day,21,200793,-0.0002061885668090741,0.6162380323703508
time_of_day,22,102921,-0.0016701378018258968,0.6173257505906116
time_of_day,23,52958,-0.004844776141103443,0.6175433941069763
