method,day,b_end,a_end
short_only,16,0.10292034279126165,1.0
short_only,17,0.13207485483247533,1.0
short_only,18,0.09848302120109864,1.0
short_only,19,0.05613768083277526,1.0
short_only,20,0.047010418677557515,1.0
short_only,21,0.040344462483250715,1.0
short_only,22,0.018769677980858344,1.0
short_only,23,0.07771266882569001,1.0
short_only,24,0.10128385721641456,1.0
short_only,25,0.04676063510058344,1.0
short_only,26,0.0504546118473194,1.0
short_only,27,0.039518062536212664,1.0
short_only,28,0.046555387287778145,1.0
short_only,29,0.06604764882869928,1.0
short_only,30,0.04694275363225099,1.0
combined,16,0.06912454607348434,1.0
combined,17,0.06889186403118824,1.0
combined,18,0.014228296217302976,1.0
combined,19,-0.016675401296824738,1.0
combined,20,0.014520300287906079,1.0
combined,21,-0.012002963112209088,1.0
combined,22,0.005334579833791877,1.0
combined,23,0.0014986945702553474,1.0
combined,24,0.03324965825823323,1.0
combined,25,-0.01618663740444289,1.0
combined,26,-0.02105275405442084,1.0
combined,27,0.011597154093704909,1.0
combined,28,0.00041053123726105065,1.0
combined,29,0.054898068153063216,1.0
combined,30,0.006454795499804375,1.0
online_platt,16,0.09538826037858808,1.0235518601470226
online_platt,17,0.08014081109953461,1.0220137913343703
online_platt,18,0.023599032591967457,1.0194721335817438
online_platt,19,0.012335284916808461,1.0386352678819901
online_platt,20,0.03254066895847479,1.0134776909146677
online_platt,21,0.010642186301858614,1.0243670757169545
online_platt,22,0.02692366593993953,1.0233774442036003
online_platt,23,0.011532560162344838,0.9997811026063314
online_platt,24,0.04901235750323404,1.0251989719685257
online_platt,25,-0.011776173159003684,1.002385942734486
online_platt,26,0.0034337570322159968,1.0258929000559724
online_platt,27,0.019457845286025486,0.9939176292529188
online_platt,28,0.013861976865128859,1.0145013259536277
online_platt,29,0.07918338252497968,1.0285962551953995
online_platt,30,0.029373455978274787,1.0286275656710369
