method,imp_wt_ll,daily_ll,worst_day,brier,ece
online_platt,0.607077527501782,0.6073354722233426,0.6138473760000677,0.2096508548663917,0.006470634691083195
oracle_intercept,0.6071255648979282,0.6073820439073216,0.6138799751352159,0.20966433635179407,0.007914277781930242
equal_ensemble,0.607146600777776,0.607403594962599,0.6141355599574053,0.20967207186997194,0.010046125937603153
time_of_day,0.6071493208756727,0.607395232721761,0.6138816924250542,0.20967060784668673,0.009466785987232435
combined,0.6071780631454394,0.6074339863210558,0.6139022436111297,0.20968289319969777,0.007885948030597353
rolling_7,0.6072375354311182,0.60748630354894,0.6139842201649789,0.2097065266304412,0.009091032316778332
long_only,0.6072375354311182,0.60748630354894,0.6139842201649789,0.2097065266304412,0.009091032316778332
rolling_3,0.6073602646961193,0.6076138711170797,0.6141621913558956,0.20977465207836135,0.009915715137664755
short_only,0.6078720107192528,0.6081281694731258,0.6146182521423138,0.2099602160661941,0.009294699801287073
expanding,0.6080520227162575,0.6083236676964558,0.6156294851325359,0.2100626259338802,0.012732003682886878
