day,mean_alpha
4,0.10871428571428572
5,0.10871428571428574
6,0.1085614692703397
7,0.10826879744413508
8,0.10827438460148796
9,0.10946503312760929
10,0.11223487674171556
11,0.11532148231779131
12,0.11707432717864255
13,0.1176598953150652
14,0.11700725707253477
15,0.11655058268709452
16,0.11693088372813876
17,0.11773473214944173
18,0.11869533251406461
19,0.11990346036187485
20,0.12059413330904768
21,0.12032898886207197
22,0.11901105680809689
23,0.11777888225033202
24,0.11768600929612616
25,0.11925195560178345
26,0.12220259847305676
27,0.12440941858096738
28,0.12463897712828523
29,0.12220579365711787
30,0.11890980072071457
31,0.11721536141202799
32,0.11801200009559573
33,0.12069537807783308
34,0.12296989154406873
35,0.12320984325567311
36,0.12127933820445036
37,0.11798102804669353
38,0.11660544665293489
39,0.11837155157105521
40,0.12207721079556043
41,0.1258389430639099
42,0.12618933686854958
43,0.1242164992862869
44,0.11962326881164881
45,0.11742893009991957
46,0.11838015379894558
47,0.12143651523596578
48,0.12425326918781195
49,0.12542883622491519
50,0.12233641315598923
51,0.11847623836629691
52,0.11683680192685286
53,0.118366848089778
54,0.1224173915637541
55,0.1260913786118757
56,0.12684336464278154
57,0.12443749179591905
58,0.12016421809990348
59,0.11858665932814982
60,0.1196288377108315
61,0.12276178386164417
62,0.12634427382651986
63,0.12735209319798552
64,0.12470607818795593
65,0.12107277762556405
66,0.1186038423275179
67,0.12014944936997446
68,0.12363675307592398
69,0.12801906874427085
70,0.12855003441770538
71,0.1252279242546318
72,0.12180460046988588
73,0.11989303155056036
74,0.1213151119959767
75,0.12418997824468846
76,0.1275121466099365
77,0.12802563146949544
78,0.1256684061531354
79,0.12173837279193993
80,0.11953614798547714
81,0.12133006555347443
82,0.12522859972642744
83,0.12948168693755077
84,0.13009582275931927
85,0.12589523003538244
86,0.12200036276951232
87,0.11958392066349068
88,0.12090177690077406
89,0.12417887684627923
90,0.12784790800378168
91,0.1290750459459578
92,0.12649190725803766
93,0.12245054378245263
94,0.12038440965468722
95,0.12183952664314177
96,0.1253400502959059
97,0.1293209442470481
98,0.13030497053824333
99,0.12739085529064398
100,0.1234110316864
101,0.1215209628905714
102,0.12221956553486266
103,0.1246528727466417
104,0.12727061300557105
105,0.12789714099446065
106,0.12592905165665644
107,0.12184416544770152
108,0.11962208940278997
109,0.1208399863493388
110,0.12420942962100974
111,0.12764232024865318
112,0.1285828063478706
113,0.125561190531991
114,0.1220584722220944
115,0.11968541921774863
116,0.12024569830865015
117,0.12343745151566445
118,0.1266458259262479
119,0.12722851612353114
