day,regret,l_long,l_oracle,l_method,captured_gain,denom_negligible
22,3.341512397148083e-05,0.6077475911655822,0.6077053452051385,0.60773876032911,,True
23,3.661567631729756e-05,0.6077886769976368,0.6077654530806929,0.6078020687570101,,True
24,1.791697146047433e-05,0.6139188647544425,0.6138739719262816,0.613891888897742,,True
25,8.24182364139725e-05,0.6114532084051758,0.6113626639568419,0.6114450821932559,,True
26,-1.9439795498343848e-05,0.5993287778972488,0.5991967167569973,0.5991772769614989,1.1472029959859127,False
27,0.00020308485314801672,0.6021781893147473,0.6021742367376542,0.6023773215908023,,True
28,-1.724820014747941e-05,0.6068106615983389,0.6068096090142799,0.6067923608141325,,True
29,3.0195776666963603e-05,0.6081300898446614,0.6079381400339111,0.6079683358105781,0.8426892084502224,False
30,3.221794325791727e-05,0.6089753234525265,0.6088123922337579,0.6088446101770159,0.8022604660946726,False
