method,imp_wt_ll,daily_ll,worst_day,brier,ece
online_platt,0.6069573479699,0.6072164900096766,0.613836094701963,0.20959539086432188,0.007119877635319203
time_of_day,0.607018470583872,0.6072694664419258,0.6137976011582905,0.20960739853618132,0.009747144901784782
oracle_intercept,0.6070353961229477,0.6072931698828394,0.6138739719262816,0.20961839890426973,0.008825433800630503
combined,0.6070802620499601,0.607337522836794,0.613891888897742,0.20963428775263043,0.008816748221859134
long_only,0.6071131756270916,0.6073701537144844,0.6139188647544425,0.20965890788354977,0.009921711096927969
equal_ensemble,0.607126339187681,0.6073834111715939,0.61393802158388,0.20966447215621675,0.010011214598966317
rolling_7,0.6073035194598497,0.6075651307060304,0.6141002604256232,0.20974154806686068,0.010538466349444811
rolling_3,0.6073257440036454,0.6075785250738902,0.6139733245251375,0.20976027202631092,0.009521957710381064
short_only,0.6078887482580836,0.6081435931111568,0.6146061862024401,0.20996689138142527,0.009409117710705085
expanding,0.6080730673082628,0.6083387985516033,0.61538893995025,0.21007286149186655,0.013014793881961322
