day,longest_same_sign_run,n_blocks,residual_autocorr_lag1
16,33,96,0.5733048016352911
17,45,96,0.3471571643272037
18,42,96,0.4774501684314596
19,20,96,0.4966313261194181
20,17,96,0.5322870823560524
21,20,96,0.6654476314114424
