ablation,setting,imp_wt_ll
carryover_rho,0.0,0.6070802620499601
carryover_rho,0.5,0.6070812106076882
carryover_rho,1.0,0.6070833276407783
delay_sec,0,0.6070154546063945
delay_sec,900,0.6070586143697181
delay_sec,1800,0.6070802620499601
delay_sec,3600,0.6071193888079165
update_granularity,impression,0.6070023579086556
update_granularity,block_900,0.6070802620499601
update_granularity,block_1800,0.6071783193509176
update_granularity,block_3600,0.6070780715206195
chronology,real,0.6070802620499601
chronology,shuffled,0.6070709765586679
long_term_backbone,expanding,0.6078887482580836
long_term_backbone,equal,0.6070916886299106
long_term_backbone,adaptive,0.6070802620499601
calib_complexity,intercept,0.6070802620499601
calib_complexity,platt,0.6069573479699
