method,block,n,mean_residual,log_loss
expanding,0,33668,0.012758129018598324,0.6181348145923649
expanding,1,24803,0.013689784003964886,0.6180311703604014
expanding,2,26273,0.018583712692056935,0.6145379583999256
expanding,3,39998,0.025342109281977634,0.6163690190982898
expanding,4,71492,0.022850404335636985,0.615918864126339
expanding,5,129515,0.019852046005777932,0.6139474108171873
expanding,6,188502,0.01517172247618126,0.6115208816449484
expanding,7,229519,0.006093992839191418,0.6073301090626977
expanding,8,245943,0.0020557023208878505,0.6031505706773899
expanding,9,247125,0.00020316765497238476,0.6012930715851691
expanding,10,248221,-0.0033497221761526635,0.6000199419534626
expanding,11,249878,-0.003620234142555811,0.6012657366148585
expanding,12,251193,0.002128725085462578,0.6043530282808002
expanding,13,242401,-0.0007356647910715967,0.6023575256404582
expanding,14,229918,0.0035494042372028,0.6037641166350619
expanding,15,234435,0.005001204080339392,0.6058832847952405
expanding,16,270188,0.007572429044766045,0.6060148644385437
expanding,17,288744,0.010131979848641068,0.6087576314272642
expanding,18,306349,0.01227155941019524,0.6108814743783441
expanding,19,308996,0.013155422868488156,0.6127894153836194
expanding,20,276318,0.01540688091598974,0.615604590657987
expanding,21,200793,0.017503204388889613,0.6176436803334536
expanding,22,102921,0.015099465303571724,0.618140282705094
expanding,23,52958,0.01100977129097975,0.6179555106352471
long_only,0,33668,0.007196761698048767,0.6172080032469255
long_only,1,24803,0.008989023186681317,0.6170277171887921
long_only,2,26273,0.014596776023984969,0.6134177589918866
long_only,3,39998,0.021767479362871038,0.6149065973534226
long_only,4,71492,0.018984458050904065,0.6145166341449587
long_only,5,129515,0.015177136676134476,0.612605190742204
long_only,6,188502,0.009958365666512625,0.610208782132991
long_only,7,229519,0.0006080012737829911,0.6061335953035952
long_only,8,245943,-0.0034138533727746984,0.6019985138732017
long_only,9,247125,-0.005234716378919425,0.6004303475315294
long_only,10,248221,-0.008550178584206123,0.5991635732503057
long_only,11,249878,-0.008750256476103791,0.6005063509129491
long_only,12,251193,-0.00307956582780656,0.6036198111804063
long_only,13,242401,-0.006054846025486549,0.6017668033116336
long_only,14,229918,-0.0018274985990267617,0.6028229403447445
long_only,15,234435,-0.0003492173560553245,0.6050228480369726
long_only,16,270188,0.002093949473262488,0.6051277831654115
long_only,17,288744,0.00456663824839213,0.6079544573307041
long_only,18,306349,0.006660957802123484,0.6099406204513989
long_only,19,308996,0.007468800558402532,0.6117849466688596
long_only,20,276318,0.009451812376387139,0.6145521938280365
long_only,21,200793,0.011298563875667772,0.6164449373268215
long_only,22,102921,0.008175423680078288,0.6171865617530741
long_only,23,52958,0.004221596412368035,0.6172869820013971
short_only,0,33668,0.010949244791669081,0.6187704589772661
short_only,1,24803,0.008545574637008668,0.6187054073752228
short_only,2,26273,0.011798327611737675,0.6145088674733321
short_only,3,39998,0.015767184433328797,0.6157637378525247
short_only,4,71492,0.009755059045793067,0.6147815419599241
short_only,5,129515,0.004434529759913642,0.6130230315397491
short_only,6,188502,-0.0010887412186200464,0.6108627605323204
short_only,7,229519,-0.010193620145241652,0.6072812162204434
short_only,8,245943,-0.012423247715594457,0.6032799576587105
short_only,9,247125,-0.011566713917729678,0.6014918021147099
short_only,10,248221,-0.012319379412115737,0.6002260645109899
short_only,11,249878,-0.009741967440836262,0.6014482100102251
short_only,12,251193,-0.001866745248150243,0.6042980927991738
short_only,13,242401,-0.004312388636555937,0.6023289328661036
short_only,14,229918,0.00022195434893213726,0.603602430352298
short_only,15,234435,0.0016091038614802393,0.6057264426927202
short_only,16,270188,0.004024470385196371,0.6058758820113683
short_only,17,288744,0.0056884680482101255,0.608570076632016
short_only,18,306349,0.006625732376874728,0.6105845043914069
short_only,19,308996,0.006066728711828597,0.612479775275017
short_only,20,276318,0.006814431928103148,0.6151782695538539
short_only,21,200793,0.007243393135131832,0.6170347158481726
short_only,22,102921,0.0032218391284801746,0.6175961405078728
short_only,23,52958,-0.0017267203470753996,0.6176744887485607
combined,0,33668,0.0055621634550711225,0.6178903510001001
combined,1,24803,0.005061527376730875,0.6178247489367426
combined,2,26273,0.00970496380786125,0.6135513775856449
combined,3,39998,0.014378715030919418,0.6145819733751701
combined,4,71492,0.008262554771568403,0.6136915575930194
combined,5,129515,0.002484395640558927,0.6120247132574446
combined,6,188502,-0.0030330428529530117,0.6099283351692042
combined,7,229519,-0.011822627829568196,0.6063383134154074
combined,8,245943,-0.013569121358301487,0.6022556629643495
combined,9,247125,-0.012398121329716811,0.6006598794495408
combined,10,248221,-0.01275822900198428,0.5993186967406501
