day,mean_alpha
4,0.10871428571428572
5,0.10871428571428574
6,0.10882606886877368
7,0.1100898130246554
8,0.11147628045918953
9,0.11207071226787423
10,0.11150753410031931
11,0.11093277296358385
12,0.11166281429121677
13,0.11300586038701164
14,0.11219981980806845
15,0.11052972278184194
16,0.1111761684646409
17,0.11405151102355454
18,0.1161536042627746
19,0.11403494732920383
20,0.11156116312245824
21,0.11235537863595077
22,0.11461609452539576
23,0.11385902122732489
24,0.11132131318088663
25,0.11066570547994692
26,0.11287338163319117
27,0.11488851192371949
28,0.11272748837491646
29,0.10972069720502427
30,0.10917803669254021
31,0.11043262447370276
32,0.10963000217932078
33,0.10674038339334735
34,0.1057642464279872
35,0.10741140835394863
36,0.10909473215546475
37,0.10747461463224171
38,0.10380366805746565
39,0.10291758441151479
40,0.10423495302917266
41,0.10322396807590786
42,0.10022437944392157
43,0.09846855967620094
44,0.1000080533221463
45,0.10194657414558385
46,0.09973196998043544
47,0.09548817447424522
48,0.09352107315241838
49,0.09460414471592234
50,0.09456875984033658
51,0.09101551793535477
52,0.08919354764101506
53,0.09026606718994223
54,0.09191490693517904
55,0.08989481426655822
56,0.08546587574953782
57,0.08403745229498888
58,0.08500952306269445
59,0.08404726733776276
60,0.08095577945049245
61,0.07881353376054474
62,0.07945416915008979
63,0.08092554113795421
64,0.07944167202786749
65,0.07490557006603005
66,0.0729141911352216
67,0.07370972881873233
68,0.07350166223416733
69,0.0709269968929702
70,0.068726741996827
71,0.06952646674266844
72,0.07047493428585583
73,0.06900348453943089
74,0.06564470984018142
75,0.06370119375264814
76,0.0641261634436481
77,0.06375678262820188
78,0.06150642499124379
79,0.05974330079939636
80,0.06032989287443913
81,0.0612166684885447
82,0.059946406401593856
83,0.05631389177203034
84,0.054800838140426966
85,0.055455820145167964
86,0.05533123242668191
87,0.05313007609789633
88,0.05159778566269113
89,0.051923056797676594
90,0.0527714322752465
91,0.05143490172398837
92,0.04879375089339688
93,0.04734453799553639
94,0.04799115299209195
95,0.04773442419653207
96,0.045647636401886724
97,0.0438998159541729
98,0.0441953084038081
99,0.044900733790723284
100,0.04403168515507002
101,0.04179619055807615
102,0.04055477321178886
103,0.04122398370153721
104,0.041149621973688655
105,0.03945926952683215
106,0.038079729545841275
107,0.038070277673106924
108,0.03872280183950201
109,0.038048205756280394
110,0.03626720500497986
111,0.035318979738636624
112,0.03579884460535078
113,0.03575550972664436
114,0.0343343872017748
115,0.03345447824369719
116,0.03347615892759955
117,0.03386708560820439
118,0.0333232823341617
119,0.031717232698944234
