mix_eta,mix_halflife,dev_imp_wt_ll
1000000.0,10.0,0.4222111080013404
1000000.0,3.0,0.4222111080013404
1000000.0,5.0,0.4222111080013404
150.0,3.0,0.4224590677253706
150.0,10.0,0.4224590677253706
150.0,5.0,0.4224590677253706
60.0,3.0,0.4224688578955058
60.0,5.0,0.4224688578955058
60.0,10.0,0.4224688578955058
30.0,3.0,0.4224721258187226
30.0,10.0,0.4224721258187226
30.0,5.0,0.4224721258187226
10.0,5.0,0.42247430503283795
10.0,3.0,0.42247430503283795
10.0,10.0,0.42247430503283795
