method,seed_avg_mean_ll,mean_delta_vs_ops,imp_wt_delta_vs_ops,ci95_lo,ci95_hi,ci_excludes_0,n_days_won,n_days,sign_test_p,worst_day_delta,loo_reverses_sign
Current OPS,0.608282902594955,,,,,,,,,,
AP-OPS,0.6081642581182994,-0.00011864447665563086,-0.0001182519651787669,-0.00014485808501554694,-9.184009720267728e-05,True,15.0,15.0,6.103515625e-05,-2.9578376808059303e-05,False
Single-memory,0.6081556478432071,-0.00012725475174790724,-0.0001268586673098887,-0.0001634965822671943,-9.154643429127511e-05,True,15.0,15.0,6.103515625e-05,-2.134425858735245e-05,False
No-slope,0.6083196250135107,3.6722418555508915e-05,4.027916511397755e-05,-5.802035208471074e-06,8.130560960136306e-05,False,6.0,15.0,0.6072387695312499,0.00020299974610671345,False
