variant,hidden,lr,weight_decay,dropout,delta_max,dev_imp_wt_ll,seconds,mlp_hidden,rank,cross_dim
v1_transformer,16,0.0003,1e-05,0.0,1.0,0.4175838848257947,8.14095401763916,,,
v1_transformer,16,0.0003,1e-05,0.0,2.0,0.4175838848257947,8.125702381134033,,,
v1_transformer,16,0.0003,1e-05,0.1,1.0,0.4175838848257947,10.040252923965454,,,
v1_transformer,16,0.0003,1e-05,0.1,2.0,0.4175838848257947,10.094299554824829,,,
v1_transformer,16,0.0003,0.0001,0.0,1.0,0.4175838848257947,8.17381763458252,,,
v1_transformer,16,0.0003,0.0001,0.0,2.0,0.4175838848257947,8.169853210449219,,,
v1_transformer,16,0.0003,0.0001,0.1,1.0,0.4175838848257947,10.084023714065552,,,
v1_transformer,16,0.0003,0.0001,0.1,2.0,0.4175838848257947,10.060683488845825,,,
v1_transformer,16,0.001,1e-05,0.0,1.0,0.4175838848257947,8.13611388206482,,,
v1_transformer,16,0.001,1e-05,0.0,2.0,0.4175838848257947,8.159515380859375,,,
v1_transformer,16,0.001,1e-05,0.1,1.0,0.4175838848257947,10.110107898712158,,,
v1_transformer,16,0.001,1e-05,0.1,2.0,0.4175838848257947,10.087586164474487,,,
v1_transformer,16,0.001,0.0001,0.0,1.0,0.4175838848257947,8.15436315536499,,,
v1_transformer,16,0.001,0.0001,0.0,2.0,0.4175838848257947,8.175293445587158,,,
v1_transformer,16,0.001,0.0001,0.1,1.0,0.4175838848257947,10.129703283309937,,,
v1_transformer,16,0.001,0.0001,0.1,2.0,0.4175838848257947,10.032724857330322,,,
v1_transformer,32,0.0003,1e-05,0.0,1.0,0.4175838848257947,12.339685678482056,,,
v1_transformer,32,0.0003,1e-05,0.0,2.0,0.4175838848257947,12.285825729370117,,,
v1_transformer,32,0.0003,1e-05,0.1,1.0,0.4175838848257947,14.260620832443237,,,
v1_transformer,32,0.0003,1e-05,0.1,2.0,0.4175838848257947,14.187287092208862,,,
v1_transformer,32,0.0003,0.0001,0.0,1.0,0.4175838848257947,12.254319906234741,,,
v1_transformer,32,0.0003,0.0001,0.0,2.0,0.4175838848257947,12.25464391708374,,,
v1_transformer,32,0.0003,0.0001,0.1,1.0,0.4175838848257947,14.215239763259888,,,
v1_transformer,32,0.0003,0.0001,0.1,2.0,0.4175838848257947,14.262308359146118,,,
v1_transformer,32,0.001,1e-05,0.0,1.0,0.4175838848257947,12.254137516021729,,,
v1_transformer,32,0.001,1e-05,0.0,2.0,0.4175838848257947,12.322233438491821,,,
v1_transformer,32,0.001,1e-05,0.1,1.0,0.4175838848257947,14.221046209335327,,,
v1_transformer,32,0.001,1e-05,0.1,2.0,0.4175838848257947,14.188217163085938,,,
v1_transformer,32,0.001,0.0001,0.0,1.0,0.4175838848257947,12.326647758483887,,,
v1_transformer,32,0.001,0.0001,0.0,2.0,0.4175838848257947,12.319232940673828,,,
v1_transformer,32,0.001,0.0001,0.1,1.0,0.4175838848257947,14.209787607192993,,,
v1_transformer,32,0.001,0.0001,0.1,2.0,0.4175838848257947,14.225346088409424,,,
v1_transformer,64,0.0003,1e-05,0.0,1.0,0.4175838848257947,21.11893343925476,,,
v1_transformer,64,0.0003,1e-05,0.0,2.0,0.4175838848257947,21.107171058654785,,,
v1_transformer,64,0.0003,1e-05,0.1,1.0,0.4175838848257947,23.0766339302063,,,
v1_transformer,64,0.0003,1e-05,0.1,2.0,0.4175838848257947,23.06825351715088,,,
v1_transformer,64,0.0003,0.0001,0.0,1.0,0.4175838848257947,21.113567113876343,,,
v1_transformer,64,0.0003,0.0001,0.0,2.0,0.4175838848257947,21.06551432609558,,,
v1_transformer,64,0.0003,0.0001,0.1,1.0,0.4175838848257947,23.028538942337036,,,
v1_transformer,64,0.0003,0.0001,0.1,2.0,0.4175838848257947,23.01259756088257,,,
v1_transformer,64,0.001,1e-05,0.0,1.0,0.4175838848257947,21.10197615623474,,,
v1_transformer,64,0.001,1e-05,0.0,2.0,0.4175838848257947,21.113885164260864,,,
v1_transformer,64,0.001,1e-05,0.1,1.0,0.4175838848257947,23.025710582733154,,,
v1_transformer,64,0.001,1e-05,0.1,2.0,0.4175838848257947,23.06209444999695,,,
v1_transformer,64,0.001,0.0001,0.0,1.0,0.4175838848257947,21.125697135925293,,,
v1_transformer,64,0.001,0.0001,0.0,2.0,0.4175838848257947,21.0958731174469,,,
v1_transformer,64,0.001,0.0001,0.1,1.0,0.4175838848257947,23.012141466140747,,,
v1_transformer,64,0.001,0.0001,0.1,2.0,0.4175838848257947,23.0521297454834,,,
v2_gru,16,0.0003,1e-05,0.0,1.0,0.4175838848257947,0.756023645401001,,,
v2_gru,16,0.0003,1e-05,0.0,2.0,0.4175838848257947,0.742767333984375,,,
v2_gru,16,0.0003,1e-05,0.1,1.0,0.4175838848257947,1.7119157314300537,,,
v2_gru,16,0.0003,1e-05,0.1,2.0,0.4175838848257947,1.7147579193115234,,,
v2_gru,16,0.0003,0.0001,0.0,1.0,0.4175838848257947,0.741241455078125,,,
v2_gru,16,0.0003,0.0001,0.0,2.0,0.4175838848257947,0.7515053749084473,,,
v2_gru,16,0.0003,0.0001,0.1,1.0,0.4175838848257947,1.7158825397491455,,,
v2_gru,16,0.0003,0.0001,0.1,2.0,0.4175838848257947,1.7068560123443604,,,
v2_gru,16,0.001,1e-05,0.0,1.0,0.4175838848257947,0.7431879043579102,,,
v2_gru,16,0.001,1e-05,0.0,2.0,0.4175838848257947,0.7439837455749512,,,
v2_gru,16,0.001,1e-05,0.1,1.0,0.4175838848257947,1.7140111923217773,,,
v2_gru,16,0.001,1e-05,0.1,2.0,0.4175838848257947,1.710500717163086,,,
v2_gru,16,0.001,0.0001,0.0,1.0,0.4175838848257947,0.7497537136077881,,,
