ablation,setting,imp_wt_ll
carryover_rho,0.0,0.3885312587539691
carryover_rho,0.5,0.38851238949383904
carryover_rho,1.0,0.38849322783041706
delay_sec,0,0.38849986496361966
delay_sec,900,0.3885312587539691
delay_sec,1800,0.3885312587539691
delay_sec,3600,0.3885312587539691
update_granularity,impression,0.3884724536716925
update_granularity,block_900,0.3885463635020585
update_granularity,block_1800,0.3885312587539691
update_granularity,block_3600,0.3885312587539691
chronology,real,0.3885312587539691
chronology,shuffled,0.3885009154302855
long_term_backbone,expanding,0.3881036653838904
long_term_backbone,equal,0.38785539050964407
long_term_backbone,adaptive,0.3885312587539691
calib_complexity,intercept,0.3885312587539691
calib_complexity,platt,0.38825701799586704
