day,block,n,mean_residual
5,0,14114,-0.020728150375677296
5,1,16110,-0.002841456392475951
5,2,20321,-0.00046976942354255425
5,3,22414,-0.0026366202845078675
5,4,30203,0.008819972691736521
5,5,34248,-0.0033205933494585833
5,6,36077,-0.003959308359647982
5,7,40203,-0.005511431769092068
5,8,37691,-0.002310716945343679
5,9,40312,0.005501020948416028
5,10,44060,-0.003145005241634197
5,11,47963,0.00029502787980870127
5,12,47923,0.007160599075033153
5,13,47557,0.008176523084923365
5,14,47294,0.0009221190713417806
5,15,41365,0.0010538111838890045
5,16,40266,-0.007283663453201337
5,17,36676,-0.015575123559844063
5,18,30775,-0.015350989254738299
5,19,23358,-0.018332125477997112
5,20,20216,-0.023364573057073207
5,21,16528,-0.015870992759388008
5,22,17754,-0.01413156359333662
5,23,15294,-0.009606697677795139
6,0,12417,-0.002650768637680474
6,1,15087,0.008784954755721303
6,2,17119,-0.0026859838272273906
6,3,23985,-0.006085646025118834
6,4,27533,-0.00019411939077366218
6,5,33680,0.005508331381762922
6,6,34527,0.005082556143562935
6,7,32471,0.004443143177654963
6,8,32646,0.009214920016994746
6,9,30367,0.00808827520116444
6,10,20200,0.0022101066457585958
6,11,23468,0.009320939045006376
6,12,33214,0.005945262447064027
6,13,34503,0.01125152964379718
6,14,21105,0.014087388448605303
6,15,20852,0.007127932201828712
6,16,36229,-0.004777905399448484
6,17,46492,-0.01473029535623456
6,18,40480,-0.026527261261071078
6,19,31567,-0.020280866295016593
6,20,21238,-0.01842050313611228
6,21,18883,-0.022226927076784253
6,22,18927,-0.01415840276394907
6,23,17398,-0.006593701533849058
