method,imp_wt_ll,daily_ll,worst_day,brier,ece
equal_ensemble,0.38804790127577093,0.389059276856157,0.4064803393516199,0.11996297934344774,0.012952683627812451
short_only,0.3881036653838904,0.3891410589751227,0.40658893224102244,0.11999032715173084,0.011625509022432756
online_platt,0.38825701799586704,0.38924978651500003,0.4066762924241745,0.12007788423457824,0.0107195392048006
expanding,0.38841876152726235,0.38941543890372615,0.4066155134668914,0.1200661045990025,0.013335273375116453
oracle_intercept,0.38842199384698656,0.38940481913918185,0.4067887054922775,0.12011721424682795,0.011949604070780283
combined,0.3885312587539691,0.38950739852320276,0.4069384548150602,0.12010159089339324,0.011009504952092011
rolling_7,0.38853588754749563,0.38954088223497435,0.40692719021919677,0.12010667927089447,0.013508814564582533
rolling_3,0.3885984905459975,0.3895704347097772,0.4070439113556531,0.12011416361059886,0.011339559949929072
long_only,0.3885984905459975,0.3895704347097772,0.4070439113556531,0.12011416361059886,0.011339559949929072
time_of_day,0.38866093720097716,0.3896267094809743,0.40696049079253777,0.12016220458953764,0.01131748222920988
