method,day,b_end,a_end
short_only,5,-0.04056362305973845,1.0
short_only,6,-0.004244463921471797,1.0
short_only,7,-0.0913607318089829,1.0
short_only,8,-0.03379964213445871,1.0
short_only,9,-0.022928838099446437,1.0
combined,5,-0.03165425813060386,1.0
combined,6,-0.018783093363840087,1.0
combined,7,-0.03531598315497034,1.0
combined,8,-0.0016837295092567098,1.0
combined,9,-0.04069376463422243,1.0
online_platt,5,-0.0155198827093104,1.0413379584470939
online_platt,6,-0.009496761804382156,1.0391749393111074
online_platt,7,-0.003946348298910064,1.0606175947960028
online_platt,8,0.01455962618774546,1.0342526066086508
online_platt,9,-0.013439352701408391,1.050813763265099
