mix_eta,mix_halflife,dev_imp_wt_ll
150.0,10.0,0.609965504930857
150.0,5.0,0.609965661692188
150.0,3.0,0.6099658624260852
60.0,10.0,0.6099752844599253
60.0,5.0,0.609975364124676
60.0,3.0,0.6099754649756802
30.0,10.0,0.6099789247786269
30.0,5.0,0.6099789675966298
30.0,3.0,0.6099790216396632
10.0,10.0,0.6099814607122752
10.0,5.0,0.6099814756625997
10.0,3.0,0.6099814944979863
1000000.0,3.0,0.6102134920310351
1000000.0,5.0,0.610213492031165
1000000.0,10.0,0.610213492031165
