eta_tag,eta,halflife,day,w_roll3,w_roll7,w_expanding,argmax_horizon,max_weight
selected,150.0,3.0,16,0.3333333333333333,0.3333333333333333,0.3333333333333333,roll3,0.3333333333333333
selected,150.0,3.0,17,0.3649620133791599,0.3512434631307661,0.283794523490074,roll3,0.3649620133791599
selected,150.0,3.0,18,0.363909751305827,0.35998039493951484,0.27610985375465824,roll3,0.363909751305827
selected,150.0,3.0,19,0.35347352892863604,0.3523183548785608,0.29420811619280324,roll3,0.35347352892863604
selected,150.0,3.0,20,0.3376304033838176,0.35557686877420097,0.30679272784198147,roll7,0.35557686877420097
selected,150.0,3.0,21,0.3385391603005251,0.3527810238998345,0.3086798157996403,roll7,0.3527810238998345
selected,150.0,3.0,22,0.3382089792682059,0.3527223032593978,0.3090687174723963,roll7,0.3527223032593978
selected,150.0,3.0,23,0.3399579402584449,0.3505528312766379,0.3094892284649172,roll7,0.3505528312766379
selected,150.0,3.0,24,0.34078376185535725,0.3473254862213143,0.31189075192332855,roll7,0.3473254862213143
selected,150.0,3.0,25,0.34427479710775594,0.3482140757093624,0.3075111271828816,roll7,0.3482140757093624
selected,150.0,3.0,26,0.3450299844117979,0.3502814147248599,0.3046886008633422,roll7,0.3502814147248599
selected,150.0,3.0,27,0.3330584032164668,0.3544176367146003,0.31252396006893285,roll7,0.3544176367146003
selected,150.0,3.0,28,0.33565552563024326,0.3506216351343114,0.3137228392354453,roll7,0.3506216351343114
selected,150.0,3.0,29,0.3355482104431875,0.3492066101696765,0.31524517938713603,roll7,0.3492066101696765
selected,150.0,3.0,30,0.33952094746461864,0.34846228171010596,0.3120167708252754,roll7,0.34846228171010596
equal,0.0,3.0,16,0.3333333333333333,0.3333333333333333,0.3333333333333333,roll3,0.3333333333333333
equal,0.0,3.0,17,0.3333333333333333,0.3333333333333333,0.3333333333333333,roll3,0.3333333333333333
equal,0.0,3.0,18,0.3333333333333333,0.3333333333333333,0.3333333333333333,roll3,0.3333333333333333
equal,0.0,3.0,19,0.3333333333333333,0.3333333333333333,0.3333333333333333,roll3,0.3333333333333333
equal,0.0,3.0,20,0.3333333333333333,0.3333333333333333,0.3333333333333333,roll3,0.3333333333333333
equal,0.0,3.0,21,0.3333333333333333,0.3333333333333333,0.3333333333333333,roll3,0.3333333333333333
equal,0.0,3.0,22,0.3333333333333333,0.3333333333333333,0.3333333333333333,roll3,0.3333333333333333
equal,0.0,3.0,23,0.3333333333333333,0.3333333333333333,0.3333333333333333,roll3,0.3333333333333333
equal,0.0,3.0,24,0.3333333333333333,0.3333333333333333,0.3333333333333333,roll3,0.3333333333333333
equal,0.0,3.0,25,0.3333333333333333,0.3333333333333333,0.3333333333333333,roll3,0.3333333333333333
equal,0.0,3.0,26,0.3333333333333333,0.3333333333333333,0.3333333333333333,roll3,0.3333333333333333
equal,0.0,3.0,27,0.3333333333333333,0.3333333333333333,0.3333333333333333,roll3,0.3333333333333333
equal,0.0,3.0,28,0.3333333333333333,0.3333333333333333,0.3333333333333333,roll3,0.3333333333333333
equal,0.0,3.0,29,0.3333333333333333,0.3333333333333333,0.3333333333333333,roll3,0.3333333333333333
equal,0.0,3.0,30,0.3333333333333333,0.3333333333333333,0.3333333333333333,roll3,0.3333333333333333
ftl_1e6,1000000.0,3.0,16,0.3333333333333333,0.3333333333333333,0.3333333333333333,roll3,0.3333333333333333
ftl_1e6,1000000.0,3.0,17,1.0,1.176461938225054e-111,0.0,roll3,1.0
ftl_1e6,1000000.0,3.0,18,1.0,3.695786048725397e-32,0.0,roll3,1.0
ftl_1e6,1000000.0,3.0,19,0.999999999666964,3.330359512049972e-10,0.0,roll3,0.999999999666964
ftl_1e6,1000000.0,3.0,20,1.1314695656750688e-150,1.0,0.0,roll7,1.0
ftl_1e6,1000000.0,3.0,21,4.912567984398744e-120,1.0,0.0,roll7,1.0
ftl_1e6,1000000.0,3.0,22,2.2288440593758176e-122,1.0,0.0,roll7,1.0
ftl_1e6,1000000.0,3.0,23,1.3955150805488295e-89,1.0,0.0,roll7,1.0
ftl_1e6,1000000.0,3.0,24,8.877057809644732e-56,1.0,2.747685066765e-312,roll7,1.0
ftl_1e6,1000000.0,3.0,25,1.1465435103601773e-33,1.0,0.0,roll7,1.0
ftl_1e6,1000000.0,3.0,26,1.840587489559755e-44,1.0,0.0,roll7,1.0
ftl_1e6,1000000.0,3.0,27,1.0809400279434736e-180,1.0,0.0,roll7,1.0
ftl_1e6,1000000.0,3.0,28,5.01882181811711e-127,1.0,1.14e-322,roll7,1.0
ftl_1e6,1000000.0,3.0,29,3.041867609084021e-116,1.0,5.933651610527587e-297,roll7,1.0
ftl_1e6,1000000.0,3.0,30,5.4784059482626987e-76,1.0,1.405e-320,roll7,1.0
