day,block,n,mean_residual
5,0,14363,-0.023912688387837795
5,1,16172,-0.011062322349790637
5,2,19968,-0.007110735027868053
5,3,22486,0.0022491651593707306
5,4,29956,0.003193460323946205
5,5,34227,-0.0011706130034467514
5,6,36016,-0.004850987283367711
5,7,39991,-0.003621743540975858
5,8,37543,-0.00047166875820891163
5,9,40381,-0.0022067492842454597
5,10,43863,-0.0036259632792243948
5,11,47579,0.00021482293658347179
5,12,47433,0.009050338777468601
5,13,47370,0.004763607732724381
5,14,46504,0.001030902617281944
5,15,41475,-0.004171077257352777
5,16,40125,-0.010667557876602824
5,17,36447,-0.012855589693667593
5,18,30954,-0.018950556242612656
5,19,23404,-0.0195165208032345
5,20,20314,-0.021505457214864857
5,21,16334,-0.023686869642966166
5,22,17781,-0.018591742397798757
5,23,15380,-0.007318619695484024
6,0,12271,0.0029499608087781687
6,1,15112,0.015971579366929087
6,2,17100,0.0032329788361120846
6,3,24092,-0.004078586954736413
6,4,27392,0.006490497003773421
6,5,34184,0.00849374922715443
6,6,34478,0.008704485857634215
6,7,32187,0.012885212516666087
6,8,32959,0.015101994825619242
6,9,30339,0.012246754533557383
6,10,20254,0.009583428709543294
6,11,23872,0.0117137414046188
6,12,33241,0.012106828621550565
6,13,34548,0.017082072708966285
6,14,21123,0.0226076294177088
6,15,20745,0.015539239640138765
6,16,36018,0.0013490373440004624
6,17,46294,-0.01060129772309788
6,18,40396,-0.017881690148385407
6,19,31521,-0.018956405318789036
6,20,21315,-0.018054783951541944
6,21,18625,-0.008739715581414707
6,22,19177,-0.015701959421301287
6,23,17535,0.003543062628412369
