method,block,n,mean_residual,log_loss
expanding,0,53763,-0.012104459261509016,0.40505023995507766
expanding,1,62334,-0.0011750888982125153,0.4201319578589241
expanding,2,82956,-0.007101287949926892,0.39296047557296415
expanding,3,93796,-0.006881387537001301,0.3987987717568804
expanding,4,129976,-0.0057804594944186145,0.3520461557673242
expanding,5,112377,-0.005876463504658414,0.3816450476146566
expanding,6,104287,-0.0061755116589436755,0.394553959030436
expanding,7,119537,-0.0023401509668248056,0.41016015925598553
expanding,8,132020,-0.00708643572800869,0.37145192963693996
expanding,9,141944,-0.01062793965536148,0.36868817808690435
expanding,10,139248,-0.016925584314683724,0.3741731369865717
expanding,11,127843,-0.010102545664501054,0.39742121444606426
expanding,12,142680,-0.013162510459729906,0.3914771860745808
expanding,13,176082,-0.011539271146161167,0.3719940597364891
expanding,14,174063,-0.006587069139050306,0.3834776759027557
expanding,15,143064,-0.009745136451090083,0.4075612026711201
expanding,16,134438,-0.01124507316933323,0.4059326586491124
expanding,17,123677,-0.01383528689091341,0.39600865438002886
expanding,18,104798,-0.016318696420583312,0.39715275583468473
expanding,19,92340,-0.017699428081818624,0.38274020970475386
expanding,20,79772,-0.01476776570833204,0.3883972305174754
expanding,21,75134,-0.01571463943078355,0.3884889980559468
expanding,22,63173,-0.014070845737435908,0.3833699114260353
expanding,23,59126,-0.0145538143492423,0.38770394835532385
long_only,0,53763,-0.014798633083456528,0.40494650192076037
long_only,1,62334,-0.0029234140192022605,0.4198293215990881
long_only,2,82956,-0.010221642209832993,0.39342750058333115
long_only,3,93796,-0.010025676505959884,0.3990388354743366
long_only,4,129976,-0.00760092679894761,0.3521595676557583
long_only,5,112377,-0.008687575506445382,0.3814697167522081
long_only,6,104287,-0.008671394302558354,0.39469117642984036
long_only,7,119537,-0.005962344500233563,0.40988343085099915
long_only,8,132020,-0.018026698913303475,0.37433608155056697
long_only,9,141944,-0.0223427438547251,0.3719447862333848
long_only,10,139248,-0.02255542572139137,0.37544791903851255
long_only,11,127843,-0.015409890968259978,0.3990401621279041
long_only,12,142680,-0.015933372968449194,0.39224177494258233
long_only,13,176082,-0.01366024917195573,0.37256171221161555
long_only,14,174063,-0.008267673186792501,0.383320417984207
long_only,15,143064,-0.012291857570958107,0.4079160159470508
long_only,16,134438,-0.014055288933649684,0.4062424818486532
long_only,17,123677,-0.017793731203033836,0.3965571692226501
long_only,18,104798,-0.019405242982140563,0.39756702984240583
long_only,19,92340,-0.021031019990248027,0.3836777224005881
long_only,20,79772,-0.017463348542107498,0.38923123175831953
long_only,21,75134,-0.01782127497890084,0.38952512892793456
long_only,22,63173,-0.017240015458286607,0.38472962872332034
long_only,23,59126,-0.01762486807137373,0.38929861740292154
short_only,0,53763,-0.012104459261509017,0.40505023995507766
short_only,1,62334,-0.0006888268115675269,0.42012670487085746
short_only,2,82956,-0.006641123488376138,0.3929561656810129
short_only,3,93796,-0.00619392137717244,0.39876229492182735
short_only,4,129976,-0.004922800073570069,0.3519985999992178
short_only,5,112377,-0.004660764546150514,0.38159198455110566
short_only,6,104287,-0.004754184909418689,0.3944705031535878
short_only,7,119537,-0.0007628561362559231,0.4101280702051989
short_only,8,132020,-0.005545360002734702,0.3713500787601907
short_only,9,141944,-0.008844773032470351,0.3685487928460469
short_only,10,139248,-0.014836739949972037,0.37393625957586424
short_only,11,127843,-0.007323560101513863,0.39721747078153286
short_only,12,142680,-0.010100350314789544,0.3911627798739952
short_only,13,176082,-0.008129474001743655,0.3716858695156812
short_only,14,174063,-0.002924733073055178,0.38329386580791014
short_only,15,143064,-0.005812976631784777,0.40732761844137644
short_only,16,134438,-0.006975668367779135,0.4056108264358295
short_only,17,123677,-0.009288110595581845,0.3955336645977688
short_only,18,104798,-0.011380608461266121,0.39659369992168264
short_only,19,92340,-0.012548720396086666,0.382058123872626
short_only,20,79772,-0.009201028296378722,0.38773979525637997
short_only,21,75134,-0.009616513071471705,0.3877908824333197
short_only,22,63173,-0.008031732060816393,0.3828462985442599
short_only,23,59126,-0.008302937251003334,0.3870437712959994
combined,0,53763,-0.014798633083456528,0.4049465019207603
combined,1,62334,-0.0023152094701311176,0.4198193755831768
combined,2,82956,-0.009538833395158933,0.3933794928986718
combined,3,93796,-0.009113458220245743,0.39895146227315303
combined,4,129976,-0.006460766414022735,0.35206837554716947
combined,5,112377,-0.006960446183897804,0.38134131170317614
combined,6,104287,-0.0066245007104809095,0.3944953451152797
combined,7,119537,-0.0036469576507878725,0.4097442358720308
combined,8,132020,-0.015441708549280755,0.37382893156452607
combined,9,141944,-0.019086733060245643,0.37122020078017703
combined,10,139248,-0.018961805359313594,0.3748136643412232
combined,11,127843,-0.010791502647370336,0.3984132258628549
combined,12,142680,-0.010957391451995124,0.391565769894826
combined,13,176082,-0.008189105888494594,0.3719559928873618
combined,14,174063,-0.002697353353273539,0.3829531544168173
combined,15,143064,-0.006458490653090299,0.40746769063216753
combined,16,134438,-0.007735590030163323,0.4056240231507148
combined,17,123677,-0.011037865142664352,0.3956161794067976
combined,18,104798,-0.012317429530647194,0.3965866788927953
combined,19,92340,-0.013778720233168635,0.382483333132449
combined,20,79772,-0.00976195469762582,0.38813233659341173
combined,21,75134,-0.009504979746442911,0.3884711980245297
combined,22,63173,-0.009202425526407782,0.38387388842286124
combined,23,59126,-0.009331518532419026,0.38824757122261383
time_of_day,0,53763,-0.0012317888392308041,0.40417564122334515
time_of_day,1,62334,-0.0037332469461414898,0.4198669653443941
time_of_day,2,82956,-0.002967257855033247,0.3935631114203164
time_of_day,3,93796,-0.004092972168513271,0.3989537204818507
time_of_day,4,129976,-0.00720696881715056,0.3522457988785241
time_of_day,5,112377,-0.008227953763823783,0.38154374616222586
time_of_day,6,104287,-0.006045657125566156,0.39483637407181765
time_of_day,7,119537,-0.00551566047482907,0.4100368665811892
time_of_day,8,132020,-0.015170296443015591,0.3751130726336339
time_of_day,9,141944,-0.015225431915607617,0.37235557103823447
time_of_day,10,139248,-0.013739078002193228,0.37473772339364847
time_of_day,11,127843,-0.012041203568988685,0.39935396986348415
time_of_day,12,142680,-0.017233087287043414,0.3931316187275344
time_of_day,13,176082,-0.01533582603657705,0.37330940853282646
time_of_day,14,174063,-0.009248251891303644,0.38376751070203446
time_of_day,15,143064,-0.009327895647273281,0.4078398406764263
time_of_day,16,134438,-0.00581414611431857,0.40579638677354934
time_of_day,17,123677,-0.003918996959795489,0.3956453213304904
time_of_day,18,104798,3.733816855859757e-05,0.39621805447574265
time_of_day,19,92340,-0.00011144447895496477,0.38213428916936554
time_of_day,20,79772,0.003318649436250398,0.3882678353711254
time_of_day,21,75134,0.00034989367939239607,0.3884175571463974
time_of_day,22,63173,0.00032916467867152377,0.3835789508261557
time_of_day,23,59126,-0.010217530252757146,0.38884201356039283
