method,imp_wt_ll,daily_ll,worst_day,brier,ece
online_platt,0.3876087099745489,0.3887057373925194,0.4065608575727209,0.11986635586476431,0.009780667429128634
short_only,0.3877296146822758,0.3888544082814875,0.4068267644602132,0.11987288636176928,0.011346989355592224
oracle_intercept,0.38773458465136534,0.38883279248692126,0.4066692622483429,0.11990156610449,0.010785152506433112
expanding,0.3879867637021912,0.3890886304148639,0.40702437429466465,0.11993078942702944,0.012613089262113138
equal_ensemble,0.3880120632668101,0.38911198144443165,0.40714159147529394,0.1199181618187032,0.015238414999976132
combined,0.38821006702816874,0.38925162722604645,0.4068267382524789,0.11995473018208093,0.012544853070457452
rolling_7,0.3882721680570165,0.38939049112449703,0.4079000979514538,0.11998745314782068,0.014091858125373101
time_of_day,0.38864838953623526,0.3896120121699435,0.40671416351390477,0.12010577909122504,0.01457576931837409
long_only,0.38875015738788443,0.3897267861302766,0.4070244051467461,0.12008985860132491,0.015864847187583124
rolling_3,0.3893083130768284,0.3903503895690088,0.40773153057865125,0.12026102572629668,0.019714593281974096
