method,day,b_end,a_end
short_only,5,-0.03647133249510764,1.0
short_only,6,0.011311775422024979,1.0
short_only,7,-0.07367437398434155,1.0
short_only,8,-0.025938454704469406,1.0
short_only,9,-0.05361948894967338,1.0
combined,5,-0.039581382152219645,1.0
combined,6,0.007587037056993621,1.0
combined,7,-0.11108025050606889,1.0
combined,8,-0.032719288938793084,1.0
combined,9,-0.05362584756334776,1.0
online_platt,5,-0.024707707026175398,1.0413986145654948
online_platt,6,0.00954141510380008,1.0312841010616707
online_platt,7,-0.056406274045473194,1.102182093677316
online_platt,8,-0.005540046559908064,1.0480859895782058
online_platt,9,-0.02658521271429127,1.0579394362107366
