day,selected_window
7,expanding
8,expanding
9,expanding
10,expanding
11,expanding
12,expanding
13,expanding
14,expanding
15,expanding
16,expanding
17,expanding
18,expanding
19,expanding
20,expanding
21,expanding
22,expanding
23,expanding
24,expanding
25,expanding
26,expanding
27,expanding
28,expanding
29,expanding
30,expanding
31,expanding
32,expanding
33,expanding
34,expanding
35,expanding
36,expanding
37,rolling_14
38,rolling_7
39,rolling_7
40,rolling_7
41,rolling_7
42,rolling_7
43,rolling_7
44,rolling_7
45,rolling_7
46,rolling_7
47,rolling_7
48,rolling_7
49,rolling_7
50,rolling_7
51,rolling_7
52,rolling_7
53,rolling_7
54,rolling_7
55,rolling_7
56,rolling_7
57,rolling_7
58,rolling_7
59,rolling_7
60,rolling_7
61,rolling_7
62,rolling_7
63,rolling_7
64,rolling_7
65,rolling_7
66,rolling_14
67,rolling_14
68,rolling_14
69,rolling_14
70,rolling_14
71,rolling_14
72,rolling_14
73,rolling_14
74,rolling_14
75,rolling_14
76,rolling_14
77,rolling_14
78,rolling_14
79,rolling_14
80,rolling_14
81,rolling_14
82,rolling_14
83,rolling_14
84,rolling_14
85,rolling_14
86,rolling_14
87,rolling_14
88,rolling_14
89,rolling_14
90,rolling_14
91,expanding
92,expanding
93,rolling_3
94,rolling_3
95,rolling_3
96,rolling_3
97,rolling_3
98,rolling_3
99,rolling_3
100,rolling_7
101,rolling_7
102,rolling_7
103,rolling_7
104,rolling_7
105,rolling_7
106,rolling_7
107,rolling_7
108,rolling_7
109,rolling_7
110,rolling_7
111,rolling_7
112,rolling_7
113,rolling_7
114,rolling_7
115,rolling_7
116,rolling_7
117,rolling_7
118,rolling_7
119,rolling_7
