day,selected_window
7,expanding
8,expanding
9,expanding
10,expanding
11,expanding
12,expanding
13,expanding
14,expanding
15,expanding
16,expanding
17,expanding
18,expanding
19,expanding
20,expanding
21,expanding
22,rolling_14
23,rolling_3
24,rolling_3
25,rolling_3
26,rolling_3
27,rolling_3
28,rolling_3
29,rolling_3
30,rolling_7
31,rolling_7
32,rolling_7
33,expanding
34,expanding
35,expanding
36,expanding
37,expanding
38,expanding
39,expanding
40,rolling_7
41,rolling_3
42,rolling_7
43,rolling_7
44,rolling_7
45,rolling_7
46,rolling_7
47,rolling_7
48,rolling_7
49,rolling_7
50,rolling_7
51,rolling_7
52,rolling_7
53,expanding
54,rolling_7
55,expanding
56,rolling_3
57,rolling_3
58,rolling_3
59,rolling_3
60,rolling_3
61,rolling_7
62,rolling_7
63,rolling_7
64,rolling_7
65,rolling_7
66,rolling_7
67,rolling_7
68,rolling_7
69,rolling_7
70,rolling_7
71,rolling_7
72,rolling_7
73,expanding
74,expanding
75,expanding
76,expanding
77,rolling_3
78,rolling_3
79,rolling_3
80,rolling_3
81,rolling_3
82,rolling_7
83,rolling_7
84,rolling_7
85,rolling_7
86,rolling_7
87,rolling_7
88,rolling_7
89,rolling_7
90,rolling_7
91,rolling_7
92,rolling_7
93,expanding
94,expanding
95,expanding
96,rolling_3
97,rolling_3
98,rolling_3
99,rolling_3
100,rolling_3
101,rolling_3
102,rolling_7
103,rolling_7
104,expanding
105,expanding
106,expanding
107,expanding
108,expanding
109,rolling_3
110,rolling_3
111,rolling_3
112,rolling_3
113,rolling_7
114,rolling_7
115,rolling_7
116,rolling_7
117,rolling_7
118,rolling_7
119,expanding
