regime,seed,config,ll,persist_hidden,mean_beta
s4_local,4,m5b_high_smooth,0.4671841651208625,,
s4_local,4,hidden0,0.4617199732021412,0.0,0.0667945062475545
s4_local,4,hidden4,0.4623124882595409,4.0,0.0817965936447892
s4_local,4,hidden8,0.4618216635442999,8.0,0.0686989474509443
s4_local,4,hidden16,0.4616182998649993,16.0,0.0599098986813
s5_opposing_local,0,m5b_default,0.5019211841775415,,
s5_opposing_local,0,m5b_high_smooth,0.5064820191584802,,
s5_opposing_local,0,hidden0,0.5031829461648147,0.0,0.417361433165414
s5_opposing_local,0,hidden4,0.5034707041907454,4.0,0.4854882299900055
s5_opposing_local,0,hidden8,0.5034461311857762,8.0,0.4826102605887821
s5_opposing_local,0,hidden16,0.5033962423938083,16.0,0.4798967327390398
s5_opposing_local,1,m5b_default,0.4851878849404864,,
s5_opposing_local,1,m5b_high_smooth,0.4936543546658576,,
s5_opposing_local,1,hidden0,0.4879617394876512,0.0,0.4944244065455028
s5_opposing_local,1,hidden4,0.4877500476924843,4.0,0.4979940388883863
s5_opposing_local,1,hidden8,0.4870284727654991,8.0,0.4927096843719482
s5_opposing_local,1,hidden16,0.4867003988577573,16.0,0.4795455617564065
s5_opposing_local,2,m5b_default,0.5227084617413172,,
s5_opposing_local,2,m5b_high_smooth,0.5283834626368797,,
s5_opposing_local,2,hidden0,0.5250184339890941,0.0,0.4560825607606343
s5_opposing_local,2,hidden4,0.5255099583989098,4.0,0.4782461558069502
s5_opposing_local,2,hidden8,0.5253150781638417,8.0,0.4668053431170327
s5_opposing_local,2,hidden16,0.5250559892059591,16.0,0.4671182245016098
s5_opposing_local,3,m5b_default,0.4848554996329741,,
s5_opposing_local,3,m5b_high_smooth,0.4910448003294768,,
s5_opposing_local,3,hidden0,0.4852044452410238,0.0,0.4255122299705233
s5_opposing_local,3,hidden4,0.4854108108110103,4.0,0.4585976787975856
s5_opposing_local,3,hidden8,0.4855569505269042,8.0,0.462235837323325
s5_opposing_local,3,hidden16,0.4854200947684427,16.0,0.4521649799176624
s5_opposing_local,4,m5b_default,0.4900565757270775,,
s5_opposing_local,4,m5b_high_smooth,0.4949166927048819,,
s5_opposing_local,4,hidden0,0.494361066239844,0.0,0.5060162544250488
s5_opposing_local,4,hidden4,0.4924274819032675,4.0,0.4751914237226758
s5_opposing_local,4,hidden8,0.4920477844215497,8.0,0.45666264295578
s5_opposing_local,4,hidden16,0.4915760173259418,16.0,0.4371947737676757
s7_opposing_recurring,0,m5b_default,0.4227884409689003,,
s7_opposing_recurring,0,m5b_high_smooth,0.4193054804938028,,
s7_opposing_recurring,0,hidden0,0.4229138145855576,0.0,0.7336758817945208
s7_opposing_recurring,0,hidden4,0.4218020993530247,4.0,0.5832772697721209
s7_opposing_recurring,0,hidden8,0.4218414444034894,8.0,0.5924492750849043
s7_opposing_recurring,0,hidden16,0.4218367373819976,16.0,0.59689348084586
s7_opposing_recurring,1,m5b_default,0.4278127236968765,,
s7_opposing_recurring,1,m5b_high_smooth,0.4242488782088286,,
s7_opposing_recurring,1,hidden0,0.428042434466699,0.0,0.7763173188482012
s7_opposing_recurring,1,hidden4,0.4265138964502836,4.0,0.5725128207887922
s7_opposing_recurring,1,hidden8,0.4265352107112378,8.0,0.5714822428567069
s7_opposing_recurring,1,hidden16,0.4265481271236505,16.0,0.5662990178380694
s7_opposing_recurring,2,m5b_default,0.4267845358530813,,
s7_opposing_recurring,2,m5b_high_smooth,0.423815440822773,,
s7_opposing_recurring,2,hidden0,0.4277139615102208,0.0,0.7250689055238452
s7_opposing_recurring,2,hidden4,0.4285959184876478,4.0,0.6684517979621887
s7_opposing_recurring,2,hidden8,0.4285951650422947,8.0,0.6537408317838397
s7_opposing_recurring,2,hidden16,0.4282003108787314,16.0,0.6646444933755057
s7_opposing_recurring,3,m5b_default,0.4380563714316575,,
s7_opposing_recurring,3,m5b_high_smooth,0.4356032311000005,,
s7_opposing_recurring,3,hidden0,0.4383347509685865,0.0,0.6699143486363547
s7_opposing_recurring,3,hidden4,0.4388809217924012,4.0,0.5789164985929217
s7_opposing_recurring,3,hidden8,0.4387500418847078,8.0,0.5951228652681623
s7_opposing_recurring,3,hidden16,0.4388944078127318,16.0,0.6227702634675162
s7_opposing_recurring,4,m5b_default,0.4386748071587636,,
s7_opposing_recurring,4,m5b_high_smooth,0.4352576807291521,,
s7_opposing_recurring,4,hidden0,0.4384085019982909,0.0,0.6864399756704058
s7_opposing_recurring,4,hidden4,0.4377431714947128,4.0,0.5990726368767875
s7_opposing_recurring,4,hidden8,0.4380536969859328,8.0,0.6024379185267857
s7_opposing_recurring,4,hidden16,0.4379135764303106,16.0,0.6064721720559256
