config,s0_none,s1_abrupt,s3_recurring,s4_local,s5_opposing_local,s7_opposing_recurring,score_sum_ll
hidden0,0.3202389966030479,0.33955070347247523,0.42501972770300656,0.4583437598550007,0.49914572622448555,0.43108269270587096,2.4733816065638865
m5b_default,0.3191167559853051,0.3387849961630626,0.4320715148369498,0.45607049506327746,0.4969459212438793,0.43082337582185587,2.47381305911433
hidden8,0.32039866122051575,0.3399614114937123,0.4258342470029888,0.45844660636127965,0.49867888341271416,0.4307551118055325,2.474074921296743
hidden4,0.32039867166899927,0.33983733352591294,0.4254696788325738,0.45884021733810954,0.4989138005992834,0.43070720151561404,2.474166903480493
hidden16,0.320398634442837,0.3399576148806239,0.42712234100084656,0.45823683298119,0.4984297485103818,0.4306786319254844,2.474823803741364
m5b_high_smooth,0.3190839275657057,0.3506007033249301,0.42117343299457044,0.46371567258515595,0.5028962658991152,0.4276461422709114,2.4851161446403887
