variant,stage,lr,weight_decay,dev_imp_wt_ll,seconds,hidden,dropout,delta_max,mlp_hidden,rank,cross_dim
v1_transformer,lr_wd,0.0003,1e-05,0.4172773186139664,71.23461174964905,,,,,,
v1_transformer,lr_wd,0.0003,0.0001,0.4172970684186274,71.27170133590698,,,,,,
v1_transformer,lr_wd,0.001,1e-05,0.4169827624491314,71.20924973487854,,,,,,
v1_transformer,lr_wd,0.001,0.0001,0.41711615729283635,71.16779518127441,,,,,,
v1_transformer,capacity,,,0.41696506448746634,49.90345549583435,16,,,,,
v1_transformer,capacity,,,0.4169827624491314,71.08048343658447,32,,,,,
v1_transformer,capacity,,,0.4169925262668622,117.7048180103302,64,,,,,
v1_transformer,dropout_deltamax,,,0.41696506448746634,49.76765847206116,,0.0,1.0,,,
v1_transformer,dropout_deltamax,,,0.4168024689706691,49.83294177055359,,0.0,2.0,,,
v1_transformer,dropout_deltamax,,,0.4169667318384719,62.35156059265137,,0.1,1.0,,,
v1_transformer,dropout_deltamax,,,0.41680917818881696,61.89162015914917,,0.1,2.0,,,
v2_gru,lr_wd,0.0003,1e-05,0.41724989746194535,6.1369805335998535,,,,,,
v2_gru,lr_wd,0.0003,0.0001,0.4172878437692229,6.027729034423828,,,,,,
v2_gru,lr_wd,0.001,1e-05,0.4169462959311994,5.953161954879761,,,,,,
v2_gru,lr_wd,0.001,0.0001,0.41706165171876053,5.9409544467926025,,,,,,
v2_gru,capacity,,,0.41694931494058146,5.060508489608765,16,,,,,
v2_gru,capacity,,,0.41694625417579917,5.993085861206055,32,,,,,
v2_gru,capacity,,,0.41693816204704737,8.573643684387207,64,,,,,
v2_gru,dropout_deltamax,,,0.41693813965998955,8.464769124984741,,0.0,1.0,,,
v2_gru,dropout_deltamax,,,0.4168330865714721,8.36183476448059,,0.0,2.0,,,
v2_gru,dropout_deltamax,,,0.41694466251506346,14.168307304382324,,0.1,1.0,,,
v2_gru,dropout_deltamax,,,0.4168303425909401,14.207624912261963,,0.1,2.0,,,
v3_mlp,lr_wd,0.0003,1e-05,0.41724234675022187,12.511150121688843,,,,,,
v3_mlp,lr_wd,0.0003,0.0001,0.41725196838196243,13.418481349945068,,,,,,
v3_mlp,lr_wd,0.001,1e-05,0.41723094671383065,6.000321865081787,,,,,,
v3_mlp,lr_wd,0.001,0.0001,0.417240923655961,6.458353042602539,,,,,,
v3_mlp,capacity,,,0.41724232197704153,5.291534662246704,,,,"(16, 16)",,
v3_mlp,capacity,,,0.4172410318983754,5.663437366485596,,,,"(32, 16)",,
v3_mlp,capacity,,,0.41723094671383065,6.003211498260498,,,,"(64, 32)",,
v3_mlp,dropout_deltamax,,,0.41723094671383065,6.027803182601929,,0.0,1.0,,,
v3_mlp,dropout_deltamax,,,0.4172301540174902,4.701630115509033,,0.0,2.0,,,
v3_mlp,dropout_deltamax,,,0.4172330121021543,13.909611701965332,,0.1,1.0,,,
v3_mlp,dropout_deltamax,,,0.4172328554969428,10.909050703048706,,0.1,2.0,,,
v4_bilinear,lr_wd,0.0003,1e-05,0.41720034225619,1.9804959297180176,,,,,,
v4_bilinear,lr_wd,0.0003,0.0001,0.41720035263679023,1.9820163249969482,,,,,,
v4_bilinear,lr_wd,0.001,1e-05,0.4171838463014018,1.3750863075256348,,,,,,
v4_bilinear,lr_wd,0.001,0.0001,0.4171838583809521,1.3772063255310059,,,,,,
v4_bilinear,capacity,,,0.4171838463014018,1.3748512268066406,,,,,4,
v4_bilinear,capacity,,,0.4171838463014018,1.4890899658203125,,,,,8,
v4_bilinear,dropout_deltamax,,,0.4171838463014018,1.3772766590118408,,0.0,1.0,,,
v4_bilinear,dropout_deltamax,,,0.4171838463014018,1.3771286010742188,,0.0,2.0,,,
v4_bilinear,dropout_deltamax,,,0.4171838463014018,1.3782415390014648,,0.1,1.0,,,
v4_bilinear,dropout_deltamax,,,0.4171838463014018,1.3763766288757324,,0.1,2.0,,,
v5_linear,lr_wd,0.0003,1e-05,0.41737760647055483,1.7432007789611816,,,,,,
v5_linear,lr_wd,0.0003,0.0001,0.41737760647055483,1.7444117069244385,,,,,,
v5_linear,lr_wd,0.001,1e-05,0.41737760647055483,1.7448906898498535,,,,,,
v5_linear,lr_wd,0.001,0.0001,0.41737760647055483,1.7485253810882568,,,,,,
v5_linear,capacity,,,0.4170451663641425,3.3800454139709473,,,,,,16
v5_linear,capacity,,,0.41737760647055483,1.7559356689453125,,,,,,32
v5_linear,capacity,,,0.41706684860077925,3.572378158569336,,,,,,64
v5_linear,dropout_deltamax,,,0.4170451663641425,3.3770620822906494,,0.0,1.0,,,
v5_linear,dropout_deltamax,,,0.4170451663641425,3.3743858337402344,,0.0,2.0,,,
v5_linear,dropout_deltamax,,,0.4170451663641425,3.3730759620666504,,0.1,1.0,,,
v5_linear,dropout_deltamax,,,0.4170451663641425,3.3836207389831543,,0.1,2.0,,,
