eta_tag,eta,halflife,day,w_roll3,w_roll7,w_expanding,argmax_horizon,max_weight
selected,1000000.0,3.0,5,0.3333333333333333,0.3333333333333333,0.3333333333333333,roll3,0.3333333333333333
selected,1000000.0,3.0,6,1.0,0.0,0.0,roll3,1.0
selected,1000000.0,3.0,7,1.0,0.0,0.0,roll3,1.0
selected,1000000.0,3.0,8,1.0,1.4467792093302166e-119,1.4467792093302166e-119,roll3,1.0
selected,1000000.0,3.0,9,1.0,1.3934053750379767e-117,3.4809108028107135e-123,roll3,1.0
equal,0.0,3.0,5,0.3333333333333333,0.3333333333333333,0.3333333333333333,roll3,0.3333333333333333
equal,0.0,3.0,6,0.3333333333333333,0.3333333333333333,0.3333333333333333,roll3,0.3333333333333333
equal,0.0,3.0,7,0.3333333333333333,0.3333333333333333,0.3333333333333333,roll3,0.3333333333333333
equal,0.0,3.0,8,0.3333333333333333,0.3333333333333333,0.3333333333333333,roll3,0.3333333333333333
equal,0.0,3.0,9,0.3333333333333333,0.3333333333333333,0.3333333333333333,roll3,0.3333333333333333
ftl_1e6,1000000.0,3.0,5,0.3333333333333333,0.3333333333333333,0.3333333333333333,roll3,0.3333333333333333
ftl_1e6,1000000.0,3.0,6,1.0,0.0,0.0,roll3,1.0
ftl_1e6,1000000.0,3.0,7,1.0,0.0,0.0,roll3,1.0
ftl_1e6,1000000.0,3.0,8,1.0,1.4467792093302166e-119,1.4467792093302166e-119,roll3,1.0
ftl_1e6,1000000.0,3.0,9,1.0,1.3934053750379767e-117,3.4809108028107135e-123,roll3,1.0
