label,baseline,method,n_days,mean_delta_daywt,median_delta,imp_wt_delta,ci95_lo,ci95_hi,ci_excludes_0,n_days_won,n_days_lost,n_days_tied,frac_days_won,sign_test_p,sign_test_p_notie,sign_test_p_floor,mbb_ci_lo,mbb_ci_hi,loo_reverses_sign,per_seed_spread
"Criteo rolling-origin (15 origins, days 16-30)",expanding,adamoe,15,-0.0009344606470820323,-0.0008534698366904347,-0.0009205603500055039,-0.001060015911519438,-0.0008234547483813285,True,15,0,0,1.0,6.103515625e-05,6.103515625e-05,6.103515625e-05,-0.0010653660557482978,-0.0008083259618969226,False,5.918461182778949e-05
"Criteo rolling-origin (15 origins, days 16-30)",expanding,arw,15,-0.0008433141405381391,-0.0007814662443680342,-0.0008296965269062479,-0.0010094999630321185,-0.0006922622018544509,True,15,0,0,1.0,6.103515625e-05,6.103515625e-05,6.103515625e-05,-0.0010178150804367268,-0.0006717733322838697,False,0.00019008124583051646
"Criteo rolling-origin (15 origins, days 16-30)",expanding,best_fixed,15,-0.0007552003984421537,-0.0007814662443680342,-0.0007305053690388966,-0.0009677849097858138,-0.0005471147926980063,True,14,1,0,0.9333333333333333,0.0009765625,0.0009765625,6.103515625e-05,-0.0009731050449508117,-0.0005347587517855782,False,0.0002801591445143655
"Criteo rolling-origin (15 origins, days 16-30)",expanding,dualtime,15,-0.0010581111087261416,-0.0008849253259086698,-0.0010397534888210787,-0.001251271822390783,-0.0008932291674735789,True,15,0,0,1.0,6.103515625e-05,6.103515625e-05,6.103515625e-05,-0.001266329292197677,-0.0008580531798711901,False,0.0001735758458384953
"Criteo rolling-origin (15 origins, days 16-30)",expanding,long_only,15,-0.0009176415523833044,-0.0008403269238870248,-0.0009032225842438882,-0.0010542071287855588,-0.0007978916737362674,True,15,0,0,1.0,6.103515625e-05,6.103515625e-05,6.103515625e-05,-0.0010586814141322902,-0.0007822743555310252,False,8.229112844297204e-05
"Criteo rolling-origin (15 origins, days 16-30)",expanding,ops,15,-0.0011741917936388309,-0.001111503934823288,-0.0011567637224274814,-0.0013691981094535702,-0.0010071029143144314,True,15,0,0,1.0,6.103515625e-05,6.103515625e-05,6.103515625e-05,-0.001388410145633689,-0.0009691262911427698,False,0.0001122733627534271
"Criteo rolling-origin (15 origins, days 16-30)",long_only,adamoe,15,-1.6819094698727886e-05,5.112861813705294e-06,-1.7337765761616e-05,-4.306862379176527e-05,4.655063233515155e-06,False,7,8,0,0.4666666666666667,1.0,1.0,6.103515625e-05,-3.6651783962239335e-05,5.002568304443008e-06,False,4.6340847986011305e-05
"Criteo rolling-origin (15 origins, days 16-30)",long_only,arw,15,7.432741184516533e-05,6.30588502641416e-05,7.352605733764026e-05,2.3281631541107e-05,0.00013130435430598145,True,3,12,0,0.2,0.03515625,0.03515625,6.103515625e-05,1.5409986592249867e-05,0.0001396868384967877,False,0.00010779011738754432
"Criteo rolling-origin (15 origins, days 16-30)",long_only,best_fixed,15,0.00016244115394115077,0.00010116622393563368,0.00017271721520499143,5.7470074343316155e-05,0.00028502942841424387,True,4,11,0,0.26666666666666666,0.11846923828124999,0.11846923828124999,6.103515625e-05,6.605095231715874e-05,0.0002710270234120195,False,0.0002051052460504854
"Criteo rolling-origin (15 origins, days 16-30)",long_only,dualtime,15,-0.0001404695563428371,-6.725781528915675e-05,-0.00013653090457719068,-0.00022666316509407775,-5.838587512913032e-05,True,12,3,0,0.8,0.03515625,0.03515625,6.103515625e-05,-0.0002363903666951145,-5.525918705922089e-05,False,0.0001364330558501751
"Criteo rolling-origin (15 origins, days 16-30)",long_only,expanding,15,0.0009176415523833044,0.0008403269238870248,0.0009032225842438882,0.0007978916737362674,0.0010542071287855588,True,0,15,0,0.0,6.103515625e-05,6.103515625e-05,6.103515625e-05,0.0007822743555310252,0.0010586814141322902,False,8.229112844297204e-05
"Criteo rolling-origin (15 origins, days 16-30)",long_only,ops,15,-0.0002565502412555265,-0.000198435096119276,-0.00025354113818359345,-0.00035326232737152536,-0.00016406090779549543,True,15,0,0,1.0,6.103515625e-05,6.103515625e-05,6.103515625e-05,-0.0003654954448020692,-0.0001592416144393079,False,0.00010503613277433504
