regime,seed,config,ll,mean_beta
s0_none,4,"{""init_bias"": -1.0, ""rho"": 0.3, ""beta_entropy_reg"": 0.001}",0.33101120034540826,0.4524987322943551
s0_none,4,"{""init_bias"": -1.0, ""rho"": 0.5, ""beta_entropy_reg"": 0.0}",0.33095949113670686,0.44138447557176863
s0_none,4,"{""init_bias"": -1.0, ""rho"": 0.5, ""beta_entropy_reg"": 0.001}",0.3310035004547709,0.4528406969138554
s0_none,4,"{""init_bias"": -2.0, ""rho"": 0.3, ""beta_entropy_reg"": 0.0}",0.3309464957056538,0.4363783972603934
s0_none,4,"{""init_bias"": -2.0, ""rho"": 0.3, ""beta_entropy_reg"": 0.001}",0.3310030398415101,0.45062410065105984
s0_none,4,"{""init_bias"": -2.0, ""rho"": 0.5, ""beta_entropy_reg"": 0.0}",0.33094011009727975,0.4375574725014823
s0_none,4,"{""init_bias"": -2.0, ""rho"": 0.5, ""beta_entropy_reg"": 0.001}",0.3309980763240204,0.45194587111473083
s1_abrupt,0,m5b_default,0.33577810434973265,
s1_abrupt,0,m5b_high_smooth,0.3486197826930469,
s1_abrupt,0,"{""init_bias"": -1.0, ""rho"": 0.3, ""beta_entropy_reg"": 0.0}",0.33661464880616393,0.40223118151937215
s1_abrupt,0,"{""init_bias"": -1.0, ""rho"": 0.3, ""beta_entropy_reg"": 0.001}",0.3367207890520488,0.431411013007164
s1_abrupt,0,"{""init_bias"": -1.0, ""rho"": 0.5, ""beta_entropy_reg"": 0.0}",0.3366902377902897,0.4170003239597593
s1_abrupt,0,"{""init_bias"": -1.0, ""rho"": 0.5, ""beta_entropy_reg"": 0.001}",0.3367808732204618,0.4404904433659145
s1_abrupt,0,"{""init_bias"": -2.0, ""rho"": 0.3, ""beta_entropy_reg"": 0.0}",0.3366262641224457,0.4057603235755648
s1_abrupt,0,"{""init_bias"": -2.0, ""rho"": 0.3, ""beta_entropy_reg"": 0.001}",0.33673185191087707,0.4345359138080052
s1_abrupt,0,"{""init_bias"": -2.0, ""rho"": 0.5, ""beta_entropy_reg"": 0.0}",0.33669149653698466,0.4168393139328275
s1_abrupt,0,"{""init_bias"": -2.0, ""rho"": 0.5, ""beta_entropy_reg"": 0.001}",0.33677695058087875,0.4384975756917681
s1_abrupt,1,m5b_default,0.3330710808654248,
s1_abrupt,1,m5b_high_smooth,0.3472462886739155,
s1_abrupt,1,"{""init_bias"": -1.0, ""rho"": 0.3, ""beta_entropy_reg"": 0.0}",0.33351485245887164,0.20961283860462052
s1_abrupt,1,"{""init_bias"": -1.0, ""rho"": 0.3, ""beta_entropy_reg"": 0.001}",0.3335546464021315,0.2094685754605702
s1_abrupt,1,"{""init_bias"": -1.0, ""rho"": 0.5, ""beta_entropy_reg"": 0.0}",0.33371039854368567,0.292386608677251
s1_abrupt,1,"{""init_bias"": -1.0, ""rho"": 0.5, ""beta_entropy_reg"": 0.001}",0.3336194899975422,0.24736511568937983
s1_abrupt,1,"{""init_bias"": -2.0, ""rho"": 0.3, ""beta_entropy_reg"": 0.0}",0.3334849542894014,0.1807209157517978
s1_abrupt,1,"{""init_bias"": -2.0, ""rho"": 0.3, ""beta_entropy_reg"": 0.001}",0.3335413573889106,0.20047982053032942
s1_abrupt,1,"{""init_bias"": -2.0, ""rho"": 0.5, ""beta_entropy_reg"": 0.0}",0.3336897389203094,0.286263020336628
s1_abrupt,1,"{""init_bias"": -2.0, ""rho"": 0.5, ""beta_entropy_reg"": 0.001}",0.3337363416352125,0.2975482494703361
s1_abrupt,2,m5b_default,0.3497635441843175,
s1_abrupt,2,m5b_high_smooth,0.36485601041862487,
s1_abrupt,2,"{""init_bias"": -1.0, ""rho"": 0.3, ""beta_entropy_reg"": 0.0}",0.3505915081093319,0.3639728627034596
s1_abrupt,2,"{""init_bias"": -1.0, ""rho"": 0.3, ""beta_entropy_reg"": 0.001}",0.35068617840380106,0.39778217928750176
s1_abrupt,2,"{""init_bias"": -1.0, ""rho"": 0.5, ""beta_entropy_reg"": 0.0}",0.3507134318698924,0.38514859889234815
s1_abrupt,2,"{""init_bias"": -1.0, ""rho"": 0.5, ""beta_entropy_reg"": 0.001}",0.35080787760399784,0.41876172125339506
s1_abrupt,2,"{""init_bias"": -2.0, ""rho"": 0.3, ""beta_entropy_reg"": 0.0}",0.35055968686286626,0.34700169350419724
s1_abrupt,2,"{""init_bias"": -2.0, ""rho"": 0.3, ""beta_entropy_reg"": 0.001}",0.35066952544606717,0.3861129224300385
s1_abrupt,2,"{""init_bias"": -2.0, ""rho"": 0.5, ""beta_entropy_reg"": 0.0}",0.35069312504597194,0.38011140695640017
s1_abrupt,2,"{""init_bias"": -2.0, ""rho"": 0.5, ""beta_entropy_reg"": 0.001}",0.3508024888333103,0.41479652438844955
s1_abrupt,3,m5b_default,0.33525421739041056,
s1_abrupt,3,m5b_high_smooth,0.3458742800323272,
s1_abrupt,3,"{""init_bias"": -1.0, ""rho"": 0.3, ""beta_entropy_reg"": 0.0}",0.3361678768994757,0.35436304062604906
s1_abrupt,3,"{""init_bias"": -1.0, ""rho"": 0.3, ""beta_entropy_reg"": 0.001}",0.33626598403051583,0.3815054340021951
s1_abrupt,3,"{""init_bias"": -1.0, ""rho"": 0.5, ""beta_entropy_reg"": 0.0}",0.3363104392611769,0.39259710099015915
s1_abrupt,3,"{""init_bias"": -1.0, ""rho"": 0.5, ""beta_entropy_reg"": 0.001}",0.33638982686373736,0.4140584762607302
s1_abrupt,3,"{""init_bias"": -2.0, ""rho"": 0.3, ""beta_entropy_reg"": 0.0}",0.33616443952816244,0.3509134665131569
s1_abrupt,3,"{""init_bias"": -2.0, ""rho"": 0.3, ""beta_entropy_reg"": 0.001}",0.3362550285721844,0.3766230623636927
s1_abrupt,3,"{""init_bias"": -2.0, ""rho"": 0.5, ""beta_entropy_reg"": 0.0}",0.3363152120115656,0.393628366291523
s1_abrupt,3,"{""init_bias"": -2.0, ""rho"": 0.5, ""beta_entropy_reg"": 0.001}",0.33638752431377916,0.4140972648348127
s1_abrupt,4,m5b_default,0.3400580338284155,
s1_abrupt,4,m5b_high_smooth,0.34640714898754266,
s1_abrupt,4,"{""init_bias"": -1.0, ""rho"": 0.3, ""beta_entropy_reg"": 0.0}",0.3408646307359403,0.3720662819487708
s1_abrupt,4,"{""init_bias"": -1.0, ""rho"": 0.3, ""beta_entropy_reg"": 0.001}",0.34100839464078886,0.41527625705514637
