ablation,setting,mean,std,size
calib_complexity,intercept,0.6071143009563064,5.526181976690081e-05,3
calib_complexity,platt,0.6069994711224492,6.766962066643236e-05,3
carryover_rho,0.0,0.6071143009563064,5.526181976690081e-05,3
carryover_rho,0.5,0.6071156110882542,5.48802565704312e-05,3
carryover_rho,1.0,0.6071176104916683,5.4490089384570236e-05,3
chronology,real,0.6071143009563064,5.526181976690081e-05,3
chronology,shuffled,0.6071004469743416,3.914589753106112e-05,3
delay_sec,0,0.607049412878606,5.320055670045555e-05,3
delay_sec,1800,0.6071143009563064,5.526181976690081e-05,3
delay_sec,3600,0.6071544135438054,5.6199650252562565e-05,3
delay_sec,900,0.6070921674507419,5.4845287716761644e-05,3
long_term_backbone,adaptive,0.6071143009563064,5.526181976690081e-05,3
long_term_backbone,equal,0.607092036778719,2.903861301541257e-06,3
long_term_backbone,expanding,0.6078759159555988,1.1393229740240166e-05,3
update_granularity,block_1800,0.6072163719582551,6.355011091381719e-05,3
update_granularity,block_3600,0.6071278134530463,6.491628149932628e-05,3
update_granularity,block_900,0.6071143009563064,5.526181976690081e-05,3
update_granularity,impression,0.6070333429402643,5.0251213994883226e-05,3
