variant,hidden,lr,weight_decay,dropout,delta_max,dev_imp_wt_ll,seconds,mlp_hidden,rank,cross_dim
v1_transformer,16,0.0003,1e-05,0.0,1.0,0.6063509102024113,68.37976312637329,,,
v1_transformer,16,0.0003,1e-05,0.0,2.0,0.6063509102024113,68.01690459251404,,,
v1_transformer,16,0.0003,1e-05,0.1,1.0,0.6063509102024113,73.40888547897339,,,
v1_transformer,16,0.0003,1e-05,0.1,2.0,0.6063509102024113,71.69408011436462,,,
v1_transformer,16,0.0003,0.0001,0.0,1.0,0.6063509102024113,65.91137456893921,,,
v1_transformer,16,0.0003,0.0001,0.0,2.0,0.6063509102024113,67.6806001663208,,,
v1_transformer,16,0.0003,0.0001,0.1,1.0,0.6063509102024113,74.5297532081604,,,
v1_transformer,16,0.0003,0.0001,0.1,2.0,0.6063509102024113,72.20664858818054,,,
v1_transformer,16,0.001,1e-05,0.0,1.0,0.6063509102024113,63.94951677322388,,,
v1_transformer,16,0.001,1e-05,0.0,2.0,0.6063509102024113,66.97398638725281,,,
v1_transformer,16,0.001,1e-05,0.1,1.0,0.6063509102024113,74.33815908432007,,,
v1_transformer,16,0.001,1e-05,0.1,2.0,0.6063509102024113,68.4597110748291,,,
v1_transformer,16,0.001,0.0001,0.0,1.0,0.6063509102024113,63.15605854988098,,,
v1_transformer,16,0.001,0.0001,0.0,2.0,0.6063509102024113,65.06359934806824,,,
v1_transformer,16,0.001,0.0001,0.1,1.0,0.6063509102024113,71.50974488258362,,,
v1_transformer,16,0.001,0.0001,0.1,2.0,0.6063509102024113,70.01832818984985,,,
v1_transformer,32,0.0003,1e-05,0.0,1.0,0.6063509102024113,137.11844038963318,,,
v1_transformer,32,0.0003,1e-05,0.0,2.0,0.6063509102024113,123.28844332695007,,,
v1_transformer,32,0.0003,1e-05,0.1,1.0,0.6063509102024113,127.49890637397766,,,
v1_transformer,32,0.0003,1e-05,0.1,2.0,0.6063509102024113,133.4076693058014,,,
v1_transformer,32,0.0003,0.0001,0.0,1.0,0.6063509102024113,123.39864778518677,,,
v1_transformer,32,0.0003,0.0001,0.0,2.0,0.6063509102024113,125.62690997123718,,,
v1_transformer,32,0.0003,0.0001,0.1,1.0,0.6063509102024113,138.02155447006226,,,
v1_transformer,32,0.0003,0.0001,0.1,2.0,0.6063509102024113,124.57683253288269,,,
v1_transformer,32,0.001,1e-05,0.0,1.0,0.6063509102024113,127.02519989013672,,,
v1_transformer,32,0.001,1e-05,0.0,2.0,0.6063509102024113,133.61965107917786,,,
v1_transformer,32,0.001,1e-05,0.1,1.0,0.6063509102024113,124.87805223464966,,,
v1_transformer,32,0.001,1e-05,0.1,2.0,0.6063509102024113,139.37140560150146,,,
v1_transformer,32,0.001,0.0001,0.0,1.0,0.6063509102024113,126.36259865760803,,,
v1_transformer,32,0.001,0.0001,0.0,2.0,0.6063509102024113,123.38592457771301,,,
v1_transformer,32,0.001,0.0001,0.1,1.0,0.6063509102024113,130.28432488441467,,,
v1_transformer,32,0.001,0.0001,0.1,2.0,0.6063509102024113,126.76296091079712,,,
