ons_lam,ons_eta,mean_S,mean_L
0.001,0.25,0.5051163969373482,0.45059409715125537
0.001,1.0,0.9737052868650116,1.0066417717324967
0.001,4.0,1.0151601468835476,0.9957519642023686
0.01,0.25,0.42840127107160225,0.42340648861443303
0.01,1.0,0.4676262795145291,0.7233022949067877
0.01,4.0,0.8655659408240609,0.9649383145515716
0.1,0.25,0.4212615750759123,0.42126227444599346
0.1,1.0,0.43874685105636724,0.42769667631051855
0.1,4.0,0.5558733789073259,0.4749271078360766
1.0,0.25,0.42155306720179603,0.4215531470170373
1.0,1.0,0.4213868307493079,0.42138699194245355
1.0,4.0,0.4212586718118257,0.421258477395782
