day,selected_window
7,expanding
8,expanding
9,expanding
10,rolling_3
11,rolling_3
12,expanding
13,expanding
14,expanding
15,expanding
16,rolling_14
17,expanding
18,rolling_14
19,rolling_14
20,rolling_14
21,rolling_14
22,rolling_14
23,rolling_14
24,rolling_14
25,rolling_14
26,rolling_14
27,rolling_14
28,rolling_14
29,rolling_14
30,rolling_14
31,rolling_14
32,rolling_14
33,rolling_14
34,rolling_14
35,rolling_14
36,rolling_14
37,rolling_14
38,rolling_14
39,rolling_14
40,rolling_14
41,rolling_14
42,rolling_14
43,rolling_14
44,rolling_14
45,rolling_14
46,rolling_14
47,rolling_14
48,rolling_14
49,rolling_14
50,rolling_14
51,rolling_14
52,rolling_14
53,rolling_14
54,rolling_14
55,rolling_14
56,rolling_14
57,rolling_14
58,rolling_14
59,rolling_14
60,rolling_14
61,rolling_14
62,rolling_14
63,rolling_14
64,rolling_14
65,rolling_14
66,rolling_14
67,rolling_14
68,rolling_14
69,rolling_14
70,rolling_14
71,rolling_14
72,rolling_14
73,rolling_14
74,expanding
75,rolling_14
76,rolling_14
77,rolling_14
78,rolling_14
79,rolling_14
80,expanding
81,expanding
82,expanding
83,expanding
84,expanding
85,expanding
86,expanding
87,expanding
88,rolling_14
89,expanding
90,expanding
91,expanding
92,expanding
93,expanding
94,expanding
95,expanding
96,expanding
97,expanding
98,expanding
99,expanding
100,expanding
101,expanding
102,expanding
103,expanding
104,expanding
105,expanding
106,expanding
107,expanding
108,expanding
109,expanding
110,expanding
111,expanding
112,expanding
113,expanding
114,expanding
115,expanding
116,expanding
117,expanding
118,expanding
119,expanding
