B_w,mean_dev_loss,mean_worst_day_loss
4.0,0.4215827103711196,0.42548161125156064
2.0,0.4216346513054983,0.42552162359617435
1.0,0.42165949788642904,0.4255425333462261
0.5,0.4216719231743182,0.425553679162692
0.25,0.42167831718522547,0.42555967253338606
