mix_eta,mix_halflife,mean_dev_loss,mean_worst_day_loss
1000000.0,3.0,0.4216849644395466,0.42556612935758403
1000000.0,5.0,0.4216849644395466,0.42556612935758403
1000000.0,10.0,0.4216849644395466,0.42556612935758403
150.0,3.0,0.4220030278448447,0.42556612935758403
150.0,5.0,0.4220030278448447,0.42556612935758403
150.0,10.0,0.4220030278448447,0.42556612935758403
60.0,3.0,0.42201109514884966,0.42556612935758403
60.0,5.0,0.42201109514884966,0.42556612935758403
60.0,10.0,0.42201109514884966,0.42556612935758403
30.0,3.0,0.42201378052660177,0.42556612935758403
30.0,5.0,0.42201378052660177,0.42556612935758403
30.0,10.0,0.42201378052660177,0.42556612935758403
10.0,3.0,0.4220155693010757,0.42556612935758403
10.0,5.0,0.4220155693010757,0.42556612935758403
10.0,10.0,0.4220155693010757,0.42556612935758403
