B,eta0,schedule,mean_dev_loss,mean_worst_day_loss
0.25,0.3,const,0.42155561570422245,0.42550665977316254
0.5,0.3,const,0.42155561570422245,0.42550665977316254
1.0,0.3,const,0.42155561570422245,0.42550665977316254
2.0,0.3,const,0.42155561570422245,0.42550665977316254
0.25,0.1,const,0.4216266289270772,0.42554120371048915
0.5,0.1,const,0.4216266289270772,0.42554120371048915
1.0,0.1,const,0.4216266289270772,0.42554120371048915
2.0,0.1,const,0.4216266289270772,0.42554120371048915
0.25,0.3,inv_sqrt,0.4216299108404454,0.4255431112808929
0.5,0.3,inv_sqrt,0.4216299108404454,0.4255431112808929
1.0,0.3,inv_sqrt,0.4216299108404454,0.4255431112808929
2.0,0.3,inv_sqrt,0.4216299108404454,0.4255431112808929
0.25,0.1,inv_sqrt,0.42166091795081034,0.42555462685839746
0.5,0.1,inv_sqrt,0.42166091795081034,0.42555462685839746
1.0,0.1,inv_sqrt,0.42166091795081034,0.42555462685839746
2.0,0.1,inv_sqrt,0.42166091795081034,0.42555462685839746
0.25,0.03,const,0.42166412599604836,0.4255571977244818
0.5,0.03,const,0.42166412599604836,0.4255571977244818
1.0,0.03,const,0.42166412599604836,0.4255571977244818
2.0,0.03,const,0.42166412599604836,0.4255571977244818
0.25,0.03,inv_sqrt,0.4216768499268337,0.42556197320759925
0.5,0.03,inv_sqrt,0.4216768499268337,0.42556197320759925
1.0,0.03,inv_sqrt,0.4216768499268337,0.42556197320759925
2.0,0.03,inv_sqrt,0.4216768499268337,0.42556197320759925
0.25,0.01,const,0.4216775890919129,0.425562944582112
0.5,0.01,const,0.4216775890919129,0.425562944582112
1.0,0.01,const,0.4216775890919129,0.425562944582112
2.0,0.01,const,0.4216775890919129,0.425562944582112
0.25,0.01,inv_sqrt,0.42168216017506244,0.4255646621363251
0.5,0.01,inv_sqrt,0.42168216017506244,0.4255646621363251
1.0,0.01,inv_sqrt,0.42168216017506244,0.4255646621363251
2.0,0.01,inv_sqrt,0.42168216017506244,0.4255646621363251
