day,mean_alpha
4,0.10871428571428571
5,0.10871428571428574
6,0.10850579208673672
7,0.10820228810673889
8,0.10753416052925091
9,0.10678760637354806
10,0.10616420087584458
11,0.105602170089352
12,0.10477684441670732
13,0.10407854289206941
14,0.10323807307667252
15,0.10214698354718169
16,0.10123907526379934
17,0.1005236948118377
18,0.09923946456748053
19,0.09809801772753966
20,0.09706014942415322
21,0.09588111706414258
22,0.09487058788143127
23,0.09377455078687079
24,0.09250551388850403
25,0.09132572844536216
26,0.09032266897662536
27,0.0894253196358999
28,0.08838931114266524
29,0.0873833316337776
30,0.08619158473975753
31,0.08735492978086655
32,0.10092771976459547
33,0.11597111978161286
34,0.13099663349456214
35,0.14054417493025945
36,0.14487297702254695
37,0.14533112132933224
38,0.14312444590414353
39,0.14064419430935585
40,0.1380021627365835
41,0.14210619288974768
42,0.141580568036848
43,0.13897848667815957
44,0.13581701136815566
45,0.13382059302991944
46,0.13246884640665435
47,0.13223322512978083
48,0.13539738830499304
49,0.14412797108882883
50,0.15591232676550765
51,0.1654663537725219
52,0.17164958778634826
53,0.17301806605423448
54,0.17262989092979736
55,0.1736407431177482
56,0.17763347534921187
57,0.18225169085146176
58,0.18622228845701377
59,0.18892286351409732
60,0.18982993049255084
61,0.18964704052844483
62,0.1898534777817476
63,0.1897365147386441
64,0.1896113250137501
65,0.18897862480669958
66,0.18815442963026174
67,0.18782835460436365
68,0.18738347560927965
69,0.18671844289942616
70,0.18578053470637512
71,0.18518656916815407
72,0.18445844939241535
73,0.18363280206639265
74,0.1825428728213917
75,0.18158767161767192
76,0.180949840854292
77,0.1798154821749455
78,0.17891258595718618
79,0.17835996233359955
80,0.17751045474617616
81,0.17650820094965367
82,0.17734065702380208
83,0.17781598614958638
84,0.17856091522488624
85,0.1790226089134418
86,0.1788208767772413
87,0.1783981149486953
88,0.17800929187419545
89,0.1775387078122486
90,0.17718406895092897
91,0.176874836901831
92,0.1767496456200308
93,0.1770612888214645
94,0.17785078860597026
95,0.17888110193760115
96,0.18020556283882844
97,0.18158355067719373
98,0.1829707916046304
99,0.18400724597212104
100,0.18493390078714989
101,0.18134859144016946
102,0.18261350513225655
103,0.18374515573247216
104,0.1858014993511905
105,0.18719813299306806
106,0.18856512142741316
107,0.18974652449379742
108,0.19053965498393843
109,0.19166713454104273
110,0.1920885693640852
111,0.1922900168554998
112,0.19222582455037374
113,0.19253585747108215
114,0.18806146136576063
115,0.1896032014869917
116,0.19239101299736028
117,0.1960970659477991
118,0.19897786459768693
119,0.2016609594057686
