dataset,day,model_seed,log_loss,delta_vs_long_only
avazu,5,0,0.42584932364348216,-8.894380732205054e-06
avazu,5,1,0.42568546244593003,-0.00017275557828433374
avazu,5,2,0.4255923585839721,-0.0002658594402422665
avazu,6,0,0.41843131551983487,-3.7062532975529194e-05
avazu,6,1,0.4178472758326725,-0.0006211022201378924
avazu,6,2,0.41799774807453766,-0.0004706299782727408
avazu,7,0,0.37378115594200007,-0.0004951928766298574
avazu,7,1,0.37441942547334317,0.00014307665471324782
avazu,7,2,0.373758035922603,-0.0005183128960269401
avazu,8,0,0.38547061687744866,-0.0004538135919363584
avazu,8,1,0.3852871998029339,-0.0006372306664511052
avazu,8,2,0.3852938313118876,-0.0006305991574974135
avazu,9,0,0.4060726830847984,-0.0010687492866804371
avazu,9,1,0.4064860029338331,-0.0006554294376457381
avazu,9,2,0.40647334043233607,-0.0006680919391427453
