dataset,day,data_sampling_seed,model_seed,method,log_loss,brier,n_impressions,empirical_ctr,delta_vs_long_only,delta_vs_online_platt
avazu,5,0,0,long_only,0.42585821802421436,0.13485193182243801,766066,0.18280017648609911,0.0,5.903875945656445e-05
avazu,5,0,0,online_platt,0.4257991792647578,0.13484134605319892,766066,0.18280017648609911,-5.903875945656445e-05,0.0
avazu,5,0,0,v5_linear,0.42584932364348216,0.1348968022449502,766066,0.18280017648609911,-8.894380732205054e-06,5.0144378724359395e-05
avazu,5,0,0,v5_no_history,0.4258564465744004,0.13485161606013452,766066,0.18280017648609911,-1.771449813947612e-06,5.726730964261684e-05
avazu,5,0,0,v5_shuffled_history,0.42590596537469544,0.13486797828363728,766066,0.18280017648609911,4.774735048107548e-05,0.00010678610993763993
avazu,6,0,0,long_only,0.4184683780528104,0.13262191860953487,644778,0.1821588205552919,0.0,-6.982851152415037e-06
avazu,6,0,0,online_platt,0.4184753609039628,0.13261927984269078,644778,0.1821588205552919,6.982851152415037e-06,0.0
avazu,6,0,0,v5_linear,0.41843131551983487,0.13262656704077136,644778,0.1821588205552919,-3.7062532975529194e-05,-4.404538412794423e-05
avazu,6,0,0,v5_no_history,0.4184480125584509,0.1326150590296668,644778,0.1821588205552919,-2.0365494359519953e-05,-2.734834551193499e-05
avazu,6,0,0,v5_shuffled_history,0.4184822760015749,0.13259734738402854,644778,0.1821588205552919,1.3897948764496348e-05,6.915097612081311e-06
avazu,7,0,0,long_only,0.3742763488186299,0.11509478824109147,1057593,0.15208497030521193,0.0,0.0005220237112749659
avazu,7,0,0,online_platt,0.37375432510735496,0.11499480636930026,1057593,0.15208497030521193,-0.0005220237112749659,0.0
avazu,7,0,0,v5_linear,0.37378115594200007,0.11503187487641427,1057593,0.15208497030521193,-0.0004951928766298574,2.6830834645108492e-05
avazu,7,0,0,v5_no_history,0.37428781313874954,0.11509943021927667,1057593,0.15208497030521193,1.1464320119614069e-05,0.00053348803139458
avazu,7,0,0,v5_shuffled_history,0.3753347825872296,0.11533938005811294,1057593,0.15208497030521193,0.0010584337685996537,0.0015804574798746196
avazu,8,0,0,long_only,0.385924430469385,0.11904293184656442,767339,0.15665436006771452,0.0,0.00027471544213558685
avazu,8,0,0,online_platt,0.38564971502724943,0.11899382101021681,767339,0.15665436006771452,-0.00027471544213558685,0.0
avazu,8,0,0,v5_linear,0.38547061687744866,0.11901297586632258,767339,0.15665436006771452,-0.0004538135919363584,-0.00017909814980077154
avazu,8,0,0,v5_no_history,0.38597548267243986,0.11905867519707795,767339,0.15665436006771452,5.105220305484659e-05,0.00032576764519043344
avazu,8,0,0,v5_shuffled_history,0.38774508216647624,0.11951963096247281,767339,0.15665436006771452,0.0018206516970912245,0.0020953671392268114
avazu,9,0,0,long_only,0.4071414323714788,0.12676261425595348,843496,0.16955267126340848,0.0,0.0002712428959920077
avazu,9,0,0,online_platt,0.4068701894754868,0.12670352295689158,843496,0.16955267126340848,-0.0002712428959920077,0.0
avazu,9,0,0,v5_linear,0.4060726830847984,0.12657501280815653,843496,0.16955267126340848,-0.0010687492866804371,-0.0007975063906884294
avazu,9,0,0,v5_no_history,0.4071230678067668,0.12675917500771275,843496,0.16955267126340848,-1.8364564711992326e-05,0.00025287833128001536
avazu,9,0,0,v5_shuffled_history,0.4070663037675474,0.1267664525910736,843496,0.16955267126340848,-7.512860393144027e-05,0.0001961142920605674
