day,oracle_horizon,oracle_horizon_loss,oracle_horizon_nominal,m5b_low_loss,m5b_high_loss,oracle_persistence
13,rolling_7,0.4350491293440222,7,0.4331166625262521,0.4331166625262521,low
14,expanding,0.3794208353067664,60,0.3800624093168726,0.3793429826089506,high
15,rolling_14,0.406246049999375,14,0.4052958798505674,0.40519294794417926,high
16,expanding,0.3590682369999965,60,0.36194109178997746,0.36202280144587656,low
17,rolling_3,0.34649854511137446,3,0.34668058321698064,0.34669852332220064,low
18,rolling_3,0.34062642325504566,3,0.3407127625211781,0.3407551418287316,low
19,rolling_14,0.4300973093297968,14,0.43019949677907593,0.42989722341608055,high
20,rolling_14,0.41953024933640487,14,0.41929530259789344,0.41969945432282196,low
21,rolling_1,0.4067875992204879,1,0.40718829237543247,0.40759823023605285,low
22,rolling_3,0.39449896916209626,3,0.3943225475261881,0.39672575039228325,low
23,rolling_14,0.4069256907146915,14,0.4061830280076577,0.4063156075046131,low
24,rolling_14,0.43958325456241626,14,0.4413098962432853,0.4396316011396151,high
25,rolling_14,0.45467094738680336,14,0.4553368986816132,0.45479350850324435,high
26,expanding,0.4273434066448936,60,0.4285398877165524,0.4293209804924828,low
27,rolling_7,0.4427063561881653,7,0.4425492836160939,0.442441846214308,high
28,rolling_7,0.4222368076607556,7,0.4225507169814367,0.42224871384869445,high
29,rolling_14,0.45600868158378494,14,0.45532575526039515,0.45517096495201137,high
30,rolling_14,0.45719703834710373,14,0.4580434457336217,0.4582284932521357,low
31,rolling_3,0.42207755947864106,3,0.4225488680182505,0.42222798487324026,high
32,rolling_14,0.4400568696210427,14,0.4405494288495223,0.44088538781105163,low
33,rolling_14,0.4216456737911867,14,0.42115081640467983,0.4224329648754524,low
34,rolling_3,0.36113230562314563,3,0.3594004363606653,0.3601335608262908,low
35,rolling_7,0.40152460120569655,7,0.4022665731498593,0.4017077106374815,high
36,rolling_14,0.42726221780209195,14,0.42703087803859313,0.42867885254783056,low
37,rolling_14,0.4444920038954257,14,0.4427587921332473,0.44380613459448837,low
38,rolling_14,0.4141774030064074,14,0.4188919895465642,0.4265948464513821,low
39,rolling_14,0.4163903947172652,14,0.41646835858170855,0.41682098787529576,low
40,rolling_14,0.40936933721264,14,0.408705746455118,0.40857296572273594,high
41,expanding,0.4199457547161252,60,0.4201594820724632,0.419996096087325,high
42,rolling_14,0.4202982557844581,14,0.42122166621629803,0.42070005589718446,high
43,rolling_14,0.42670801628363,14,0.42605283371967123,0.4262068921554595,low
44,rolling_14,0.39399285235305487,14,0.39460514866386504,0.39447470865370426,high
45,rolling_1,0.37567069834591293,1,0.3776287826575548,0.37860116859777404,low
46,rolling_14,0.36262321664245206,14,0.3601706984847484,0.3620038470969292,low
47,rolling_3,0.3645732047097543,3,0.3699522346181316,0.36712280831318406,high
48,rolling_14,0.4440384669726293,14,0.4465061172765773,0.44497837050389616,high
49,rolling_3,0.3569288020558049,3,0.35647794644497366,0.35578531844414973,high
50,expanding,0.43847622529397495,60,0.43859254307445383,0.4382455691815805,high
51,rolling_14,0.44809089219509274,14,0.44779473409820114,0.44759483332227534,high
52,expanding,0.41768768414208707,60,0.4169832320832403,0.4166363345378884,high
53,expanding,0.40880023370431584,60,0.40714606846421775,0.4068917531509812,high
54,rolling_7,0.4292795852541042,7,0.4289454554593475,0.4290025806163982,low
55,rolling_14,0.4249156390824314,14,0.4242867784325171,0.4243655614984747,low
56,rolling_14,0.42826386812871686,14,0.42975275609638003,0.4300022449938867,low
