baseline,method,n_days,mean_delta,median_delta,ci95_lo,ci95_hi,ci_excludes_0,n_days_won,sign_test_p
long_only,ops,9,-0.0001853270462408327,-0.00019060930330575912,-0.0002970245781595649,-7.180141963708018e-05,True,8,0.0390625
long_only,dualtime,9,-7.61898815125442e-05,-5.381039382027867e-05,-0.00016665032776873887,1.5466059138537983e-05,False,6,0.5078125
long_only,frozen_v5,9,-5.7459099324263244e-05,-7.55142902303015e-05,-9.82305357566341e-05,-1.3831309693720547e-05,True,7,0.1796875
ops,long_only,9,0.0001853270462408327,0.00019060930330575912,7.180141963708017e-05,0.0002970245781595647,True,1,0.0390625
ops,dualtime,9,0.0001091371647282885,8.274199107723608e-05,7.019358405954267e-05,0.00015228994643188564,True,0,0.00390625
ops,frozen_v5,9,0.00012786794691656945,9.221030069802201e-05,2.0830626119673773e-05,0.0002360592339546353,True,1,0.0390625
