label,baseline,method,n_days,mean_delta_daywt,median_delta,imp_wt_delta,ci95_lo,ci95_hi,ci_excludes_0,n_days_won,n_days_lost,n_days_tied,frac_days_won,sign_test_p,sign_test_p_notie,sign_test_p_floor,mbb_ci_lo,mbb_ci_hi,loo_reverses_sign,per_seed_spread
Criteo diagnostic (dev evidence),long_only,dualtime,9,-7.618988151254009e-05,-5.3810393820352687e-05,-7.488008763795585e-05,-0.00016665032776873095,1.5466059138554125e-05,False,6,3,0,0.6666666666666666,0.5078125,0.5078125,0.00390625,-0.00013843838448181057,-8.959736248555691e-06,False,0.0001076397906164909
Criteo diagnostic (dev evidence),long_only,frozen_v5,9,-5.745909932425914e-05,-7.551429023033851e-05,-5.84067569235503e-05,-9.82305357566382e-05,-1.3831309693695671e-05,True,7,2,0,0.7777777777777778,0.1796875,0.1796875,0.00390625,-0.00010606456880631517,-1.4302273113362161e-06,False,0.00014489712937630164
Criteo diagnostic (dev evidence),long_only,ops,9,-0.0001853270462408204,-0.00019060930330583314,-0.00018672180475098782,-0.00029702457815955637,-7.180141963706373e-05,True,8,1,0,0.8888888888888888,0.0390625,0.0390625,0.00390625,-0.0002645262756338914,-0.0001052726889241789,False,7.045816051691003e-05
