config,s0_none,s3_recurring,s4_local,s5_opposing_local,s7_opposing_recurring,score_sum_ll
amgtp_global,0.32023899671896744,0.42501972926816683,0.45834375979219616,0.49914572987245387,0.43108269264624255,2.1338309082980267
m5b_high_smooth,0.31908392754369475,0.4211734329892532,0.463715672184639,0.5028962658183577,0.42764614219713304,2.1345154407330775
betax_vr0,0.3208422707552597,0.4254634355671687,0.4572693426187581,0.4992338843601797,0.43182280887173485,2.134631742173101
betax_vr0.0001,0.32084246518013154,0.4254936634469265,0.4572692809299287,0.49923412143763474,0.4318226693424611,2.1346622003370825
m5b_default,0.31911675601545314,0.43205904474459944,0.4560704947159914,0.49694592137741356,0.4308233807190315,2.1350155975724894
betax_vr0.01,0.32060694804411505,0.42651916678553975,0.4572471701177198,0.49928794730061804,0.4318342793486936,2.1354955115966865
betax_vr0.001,0.3208442791623998,0.4265082935503822,0.4572626548734403,0.4992367560899398,0.43182236018450115,2.1356743438606633
betax_vr0.1,0.32060888975356433,0.4265268181932699,0.4571704312036358,0.4993303395397395,0.43207458169834095,2.1357110603885503
