regime,seed_set,method,log_loss,log_loss_se,n_seeds,brier,pr_auc,roc_auc,ece,mean_excess_over_oracle,recovery_time_days,peak_post_shift_excess,cumulative_post_shift_regret,stationary_downside,log_loss_A,log_loss_B
s7_opposing_recurring,confirm,m5b_smooth0.1,0.43263521989541287,0.003968108674476829,12,0.13988282666536542,0.6736308793893205,0.8358409494913769,0.03278480384358307,-0.003334765765591593,,,,,0.4247474611485558,0.4405221974883173
s7_opposing_recurring,confirm,ensemble3,0.43305047439155375,0.00396130414084513,12,0.140061247980757,0.672456511013089,0.8353848727638665,0.032200701050764786,-0.00291951126945064,,,,,0.42365461165411933,0.442441625391567
s7_opposing_recurring,confirm,m2_context_gate,0.4339907018529421,0.0040137130738823485,12,0.14044413379918533,0.6702505361479476,0.834170833007608,0.031348428104871796,-0.0019792838080622877,,,,,0.42604129811420116,0.4419375299611166
s7_opposing_recurring,confirm,m5b_smooth0.01,0.43430451588633895,0.0040413667870477,12,0.14056322845175143,0.6696488729343119,0.8338576598959925,0.03134410551810332,-0.0016654697746654853,,,,,0.4248149737652314,0.443791430446068
s7_opposing_recurring,confirm,m1_global_mix,0.4347743423298789,0.004025211275213928,12,0.14082529387340137,0.6679399620944292,0.8328442922074331,0.029949262528264426,-0.0011956433311255006,,,,,0.41973677074815585,0.4498021146192534
s7_opposing_recurring,confirm,amgtp_hidden8,0.43529626118000614,0.004023994562008105,12,0.14093589028884898,0.6684498980996506,0.8329918505819739,0.0318966626918013,-0.0006737244809983724,,,,,0.4254498064900092,0.4451392546419926
s7_opposing_recurring,confirm,amgtp_no_state,0.43543086962832295,0.004087684817214001,12,0.14098587709400082,0.6682714138661444,0.8328673494916473,0.03201093814247605,-0.0005391160326815225,,,,,0.42560252167762314,0.44525575385087873
s7_opposing_recurring,confirm,m5b_smooth0.001,0.4355704830608034,0.004037568655996308,12,0.1410354810749788,0.6674043845917401,0.8325953417705866,0.031171662477047047,-0.00039950260020099474,,,,,0.42808153827490497,0.44305736246367294
s7_opposing_recurring,confirm,m5b_smooth0.3,0.43560239418532537,0.00395558556029553,12,0.14106517015862094,0.6678509413304253,0.8319448583592566,0.029934085041798866,-0.0003675914756791376,,,,,0.42709735406894683,0.4441038183010985
s7_opposing_recurring,confirm,m5b_smooth0,0.4356445824396114,0.004059782614370047,12,0.14106779848508813,0.6672006234668904,0.8325726788020349,0.031162411776415253,-0.00032540322139297013,,,,,0.4281586385479927,0.44313069058620996
s7_opposing_recurring,confirm,amgtp_fixed_beta0,0.4356445824396114,0.004059782614370047,12,0.14106779848508813,0.6672006234668904,0.8325726788020349,0.031162411776415253,-0.00032540322139297013,,,,,0.4281586385479927,0.44313069058620996
s7_opposing_recurring,confirm,amgtp_hidden16,0.4356817545542202,0.004008388411931574,12,0.14109347180287982,0.6675400786829941,0.832513684660317,0.03145790844100787,-0.0002882311067842681,,,,,0.4257121846564986,0.445648334826406
s7_opposing_recurring,confirm,amgtp_global_q,0.43590449561155387,0.004021286146044002,12,0.14116983893878668,0.6672557441852263,0.832144567116821,0.03139396612353366,-6.549004945054266e-05,,,,,0.42520429488383565,0.44660003371676793
s7_opposing_recurring,confirm,amgtp,0.43591969270637865,0.003966291354180246,12,0.14119667749550655,0.6668962350250527,0.8320370146432529,0.031152275928829982,-5.0292954625884485e-05,,,,,0.4248549365968592,0.4469798039639717
s7_opposing_recurring,confirm,han_arw,0.4359699856610044,0.004076164738536073,12,0.1410836072540163,0.6668432623207465,0.8321524228807986,0.030488905322654875,0.0,,,,,0.43486525580113117,0.4370812927689294
s7_opposing_recurring,confirm,expanding,0.4359699856610044,0.004076164738536073,12,0.1410836072540163,0.6668432623207465,0.8321524228807986,0.030488905322654875,0.0,,,,,0.43486525580113117,0.4370812927689294
s7_opposing_recurring,confirm,validation_selected(h=expanding),0.4359699856610044,0.004076164738536073,12,0.1410836072540163,0.6668432623207465,0.8321524228807986,0.030488905322654875,0.0,,,,,0.43486525580113117,0.4370812927689294
s7_opposing_recurring,confirm,amgtp_fixed_beta_hi,0.43698595521399763,0.003927102511326939,12,0.14161481538029086,0.6648083153959715,0.830808029628371,0.030621339875661912,0.0010159695529931318,,,,,0.42626240489033584,0.4477044197320133
s7_opposing_recurring,confirm,diff_forgetting,0.43974467376953913,0.004066872312655249,12,0.14218230261067935,0.6659677595321266,0.8316064921641125,0.03889986102054243,0.003774688108534783,,,,,0.4382474154899379,0.44124793555999925
s7_opposing_recurring,confirm,adamoe,0.44991204125559925,0.004065302928741882,12,0.14670738401874386,0.6389847569498123,0.8149720249228508,0.02385515567749825,0.013942055594594797,,,,,0.4303144849218426,0.4694940394951548
s7_opposing_recurring,confirm,rolling_14,0.4509018791584465,0.004151596188618152,12,0.1468704867839344,0.6369121014019161,0.8144153406109648,0.021383148795778312,0.014931893497442082,,,,,0.4514361355359932,0.4503753993898047
s7_opposing_recurring,confirm,amgtp_uniform_q,0.45102384214737773,0.004080541970991527,12,0.1471382116771127,0.6370039154170405,0.8137627304767029,0.023947487141171172,0.015053856486373238,,,,,0.431267161815229,0.4707647933642485
s7_opposing_recurring,confirm,uniform5,0.45102384266409223,0.004080541974785614,12,0.14713821186918782,0.63700391663522,0.8137627318137345,0.02394748746046385,0.01505385700308781,,,,,0.4312671625214987,0.470764793691761
s7_opposing_recurring,confirm,decay_hl7,0.4896250917855555,0.004179644154897162,12,0.15967622287607058,0.6417898967239705,0.816912367276879,0.0973586677879193,0.05365510612455104,,,,,0.4846225069162447,0.49462902151143223
s7_opposing_recurring,confirm,rolling_7,0.4975989285230238,0.0044643860677347205,12,0.16208536482517455,0.5768036983631988,0.7756928091064017,0.04885535679085782,0.06162894286201944,,,,,0.45498471505169197,0.5401720696364704
s7_opposing_recurring,confirm,rolling_3,0.5188369546733775,0.004345089758393889,12,0.1658600027929889,0.5829210904571469,0.7787861386274283,0.07632011566920315,0.0828669690123732,,,,,0.46513726011128753,0.572482932951801
s7_opposing_recurring,confirm,decay_hl3,0.525010571957314,0.00445614527541422,12,0.1734194772615896,0.6156130703047811,0.8003691593950588,0.1175086596466131,0.0890405862963096,,,,,0.5193173488336353,0.5307037919309544
s7_opposing_recurring,confirm,decay_hl1,0.5662457939812452,0.004684585945843231,12,0.18982788579108953,0.5709977253369318,0.7712443848561876,0.13575953927081186,0.1302758083202408,,,,,0.5641696444098433,0.5683247514033457
s7_opposing_recurring,confirm,rolling_1,0.785761774657066,0.008629657233699206,12,0.21681185022445726,0.4787715541752104,0.7069507551653733,0.17089459627550596,0.3497917889960616,,,,,0.7519636433218085,0.8195300386430583
