regime,ablation,method,log_loss,se,n_seeds
s3_recurring,A8b 5-expert gate (M5b),m5b_smooth0.001,0.4378101070675857,0.0036835395830152533,12
s3_recurring,A9 static uniform-5,uniform5,0.43927475254268394,0.0037573283276652967,12
s3_recurring,A10 nonlinear persistence net (h=8),amgtp_hidden8,,,0
s3_recurring,A10 nonlinear persistence net (h=16),amgtp_hidden16,,,0
s3_recurring,A11 per-example beta_t(x),amgtp_bx,,,0
s3_recurring,"A11 per-example beta_t(x), no var penalty",amgtp_bx_var0,,,0
s3_recurring,"A12 per-example beta_t(x), var penalty -> global",amgtp_bx_varhi,,,0
s3_recurring,"A13 per-example beta_t(x), nonlinear g_xi",amgtp_bx_h8,,,0
s4_local,A0 expanding only,expanding,0.5190154917448452,0.004476642060459544,12
s4_local,A1 no persistence (beta=0),amgtp_fixed_beta0,0.4589564610901115,0.0038114886205986333,12
s4_local,A2 fixed low persistence,m5b_smooth0.001,0.45890181536253416,0.003821695237953958,12
s4_local,A3 fixed high persistence,m5b_smooth0.1,0.4670802185885537,0.00398399995915339,12
s4_local,"A4 adaptive beta, global q",amgtp_global_q,0.4843053924825809,0.004279933792642009,12
s4_local,"A5 adaptive beta, uniform q",amgtp_uniform_q,0.5039710637137261,0.004329390690526957,12
s4_local,A6 full AMG-TP,amgtp,0.46120230419382224,0.0038237172285018766,12
s4_local,"A7 adaptive beta, no state feats",amgtp_no_state,0.46285042772770146,0.003828436252787439,12
s4_local,A8a 2-expert gate (M2),m2_context_gate,0.48786038706874185,0.004029676945348643,12
s4_local,A8b 5-expert gate (M5b),m5b_smooth0.001,0.45890181536253416,0.003821695237953958,12
s4_local,A9 static uniform-5,uniform5,0.5039710637595238,0.0043293906615932696,12
s4_local,A10 nonlinear persistence net (h=8),amgtp_hidden8,,,0
s4_local,A10 nonlinear persistence net (h=16),amgtp_hidden16,,,0
s4_local,A11 per-example beta_t(x),amgtp_bx,,,0
s4_local,"A11 per-example beta_t(x), no var penalty",amgtp_bx_var0,,,0
s4_local,"A12 per-example beta_t(x), var penalty -> global",amgtp_bx_varhi,,,0
s4_local,"A13 per-example beta_t(x), nonlinear g_xi",amgtp_bx_h8,,,0
s5_opposing_local,A0 expanding only,expanding,0.6110425147489539,0.0037001596026654242,12
s5_opposing_local,A1 no persistence (beta=0),amgtp_fixed_beta0,0.49223441104692695,0.002913798616180615,12
s5_opposing_local,A2 fixed low persistence,m5b_smooth0.001,0.49210160944438464,0.0029119051854768633,12
s5_opposing_local,A3 fixed high persistence,m5b_smooth0.1,0.496615247206404,0.002812228681233347,12
s5_opposing_local,"A4 adaptive beta, global q",amgtp_global_q,0.4940038820013877,0.0029700857348199405,12
s5_opposing_local,"A5 adaptive beta, uniform q",amgtp_uniform_q,0.5155041977953538,0.002914128342302881,12
s5_opposing_local,A6 full AMG-TP,amgtp,0.49360715588829857,0.002981459817529081,12
s5_opposing_local,"A7 adaptive beta, no state feats",amgtp_no_state,0.493690625790875,0.003011858562427897,12
s5_opposing_local,A8a 2-expert gate (M2),m2_context_gate,0.53537015993162,0.0029352751476604206,12
