regime,seed_set,method,log_loss,log_loss_se,n_seeds,brier,pr_auc,roc_auc,ece,mean_excess_over_oracle,recovery_time_days,peak_post_shift_excess,cumulative_post_shift_regret,stationary_downside,log_loss_A,log_loss_B
s0_none,confirm,expanding,0.32703213426206446,0.0038260971897643866,12,0.10132241118762941,0.8519744680661866,0.9256478300163483,0.05405105374630409,0.0,,,,0.0,0.3274411098952125,0.32662355970989787
s0_none,confirm,validation_selected(h=expanding),0.32703213426206446,0.0038260971897643866,12,0.10132241118762941,0.8519744680661866,0.9256478300163483,0.05405105374630409,0.0,,,,0.0,0.3274411098952125,0.32662355970989787
s0_none,confirm,m1_global_mix,0.32703213426206446,0.0038260971897643866,12,0.10132241118762941,0.8519744680661866,0.9256478300163483,0.05405105374630409,0.0,,,,0.0,0.3274411098952125,0.32662355970989787
s0_none,confirm,han_arw,0.32703213426206446,0.0038260971897643866,12,0.10132241118762941,0.8519744680661866,0.9256478300163483,0.05405105374630409,0.0,,,,0.0,0.3274411098952125,0.32662355970989787
s0_none,confirm,m5b_smooth0.01,0.3280534949626543,0.003816439672488504,12,0.10163822907940466,0.8515119889370171,0.9253387427622707,0.05479919441876443,0.0010213607005898333,,,,0.001021360700589849,0.3285356837104596,0.3275717744790266
s0_none,confirm,m2_context_gate,0.3280648847758287,0.0038260214435988497,12,0.10166653746090798,0.8513305150797327,0.9252821548082988,0.05463563550114714,0.0010327505137642673,,,,0.0010327505137642662,0.32855591486311453,0.3275743336453426
s0_none,confirm,ensemble3,0.32810113886346665,0.0037985542986224224,12,0.10166489396310484,0.8514151148872863,0.92528762722886,0.054719044779470816,0.0010690046014022899,,,,0.001069004601402269,0.3285858044669208,0.32761696968399917
s0_none,confirm,m5b_smooth0.001,0.3281700681025004,0.0038176671141201307,12,0.10168290185806163,0.8513880722396916,0.9252598494385332,0.054673534049598786,0.0011379338404359578,,,,0.0011379338404359507,0.3286621999480375,0.32767842587730783
s0_none,confirm,amgtp_fixed_beta0,0.32818811358250694,0.003818350075719618,12,0.10169142891268124,0.8513515702222404,0.9252398418267135,0.05467826410553622,0.0011559793204424932,,,,0.0011559793204424889,0.32868749727186697,0.3276892429287819
s0_none,confirm,m5b_smooth0,0.32818811358250694,0.003818350075719618,12,0.10169142891268124,0.8513515702222404,0.9252398418267135,0.05467826410553622,0.0011559793204424932,,,,0.0011559793204424889,0.32868749727186697,0.3276892429287819
s0_none,confirm,m5b_smooth0.1,0.3284759629194652,0.003726434667156662,12,0.10181584348151533,0.8508555447333958,0.9249072292265302,0.054224089845753526,0.0014438286574007663,,,,0.0014438286574007576,0.32895819236965623,0.32799425561279644
s0_none,confirm,learn_alpha,0.32917867943701945,0.0038193832759183147,12,0.10209825054605211,0.8498285988331703,0.9245260029479856,0.05411284228106205,0.002146545174955024,,,,0.002146545174955027,0.32957433605554565,0.32878351841809833
s0_none,confirm,amgtp,0.32927732998363074,0.003813240419376752,12,0.10205503180303678,0.8504809523359742,0.9247886112203939,0.055067926090283686,0.002245195721566352,,,,0.0022451957215663585,0.3297596204229376,0.3287955622931112
s0_none,confirm,amgtp_no_state,0.32936140576269385,0.003815378806117384,12,0.10208419087812569,0.8504030520602869,0.9247469630448121,0.05511477361475294,0.0023292715006294116,,,,0.002329271500629416,0.32984669926340465,0.3288766446466621
s0_none,confirm,amgtp_hidden8,0.3294300759911006,0.003814805509156737,12,0.10210802044690143,0.8503396331095376,0.9247124416269547,0.05514830663985662,0.002397941729036236,,,,0.002397941729036212,0.3299170680843263,0.32894361978972425
s0_none,confirm,amgtp_hidden16,0.32943010229663466,0.0038148082300066568,12,0.10210802932173364,0.8503396665007353,0.9247124518730474,0.05514737113052214,0.002397968034570292,,,,0.0023979680345702775,0.329917088842212,0.32894365164690514
s0_none,confirm,amgtp_global_q,0.3299080994519115,0.0037999194647964653,12,0.10227175913030484,0.8499649181433387,0.9244249857503989,0.05511965671409261,0.002875965189847075,,,,0.0028759651898470767,0.3303122676298058,0.32950440794698554
s0_none,confirm,m5b_smooth0.3,0.33063810026512697,0.0036054706937049394,12,0.10271741983277509,0.8472628256634316,0.9229488642703284,0.05188625084291302,0.0036059660030625484,,,,0.00360596600306252,0.3310699414213152,0.33020685252888854
s0_none,confirm,amgtp_fixed_beta_hi,0.33108053762229445,0.0038080157568223852,12,0.10271028922176716,0.8485505265693699,0.9237705713290433,0.05509781285107576,0.004048403360230018,,,,0.004048403360230023,0.33155660873063963,0.33060500640474916
s0_none,confirm,fixed_share,0.3322933011560884,0.0038156688146646824,12,0.10334752613698246,0.8454326040217738,0.9221889694462123,0.05216334392444854,0.0052611668940239975,,,,0.00526116689402401,0.33270516890651164,0.33188199644136324
s0_none,confirm,rolling_14,0.3383598578278175,0.0038540012054399313,12,0.10623957729917077,0.8319656316061228,0.9148749422851061,0.03883486852590157,0.011327723565753074,,,,0.011327723565753076,0.3386655508598417,0.33805461712952223
s0_none,confirm,diff_forgetting,0.33845945366490815,0.0038124271558766004,12,0.10432329118194598,0.8514848489727754,0.9253718989538379,0.07041199348830161,0.011427319402843729,,,,0.01142731940284375,0.33888940197544354,0.3380299110150198
s0_none,confirm,rolling_7,0.353881635655529,0.003903786684390864,12,0.11245288928604032,0.8086309143217537,0.9022086468188432,0.025012150488079022,0.026849501393464596,,,,0.02684950139346461,0.3545283694684751,0.35323641775142817
s0_none,confirm,adamoe,0.35428980648571384,0.003974558475928244,12,0.11205647393450108,0.8147424861619692,0.9058133266734923,0.04031385885246779,0.027257672223649384,,,,0.027257672223649398,0.35483032390308383,0.35374993646519926
s0_none,confirm,amgtp_uniform_q,0.3563905313999449,0.004009286435471317,12,0.11292315312142426,0.8115703594002969,0.9041141540713632,0.03900411910378526,0.029358397137880552,,,,0.029358397137880545,0.35694423774064715,0.3558374779900644
s0_none,confirm,uniform5,0.3563905338307591,0.00400928648191698,12,0.11292315394834916,0.8115703546088512,0.9041141527821145,0.039004122634954674,0.02935839956869476,,,,0.029358399568694734,0.35694424019202536,0.3558374804003139
s0_none,confirm,rolling_3,0.40752925622370895,0.004399725262700961,12,0.13107758202321698,0.7479945387952438,0.8679384995089562,0.034416384073775744,0.08049712196164449,,,,0.08049712196164448,0.4082707742241578,0.40678853446717184
s0_none,confirm,decay_hl7,0.43925014332221335,0.004326020542127254,12,0.13835908706274236,0.8322510622386333,0.9150406725586643,0.15887742877358157,0.11221800906014884,,,,0.11221800906014884,0.43991988083269007,0.43858157438798706
s0_none,confirm,decay_hl3,0.5032311519483077,0.0050123455653085566,12,0.16390422600739044,0.7992741007605911,0.8971097223034189,0.18904864099899,0.17619901768624338,,,,0.17619901768624335,0.5040827789824,0.5023809677967424
s0_none,confirm,decay_hl1,0.572804178574542,0.005785654567430827,12,0.19293746661920594,0.7103979346249076,0.8459978914745375,0.16466264315050377,0.24577204431247757,,,,0.24577204431247754,0.5736979787996409,0.5719117692097982
s0_none,confirm,rolling_1,0.6572110031745768,0.007692505569500356,12,0.19127188280069304,0.5919841726619629,0.7707431661583954,0.13544091360954713,0.33017886891251247,,,,0.3301788689125124,0.6598460639492836,0.6545804954815339
